procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1700612  8536 1386024   0    0 27886   893 17475  95 11 19 70  0  0  0
 0  0      0 1687760  8544 1386056   0    0     0    88 5840 9065  2  3 95  0  0  0
 0  0      0 1671968  8560 1386108   0    0     0    80 6568 10540 3  3 94  0  0  0
 0  0      0 1654860  8560 1386160   0    0     0    28 7374 12599 3  4 93  0  0  0
 0  0      0 1637080  8560 1386252   0    0     0     0 7097 12102 2  3 95  0  0  0
 0  0      0 1621212  8560 1386384   0    0     0    92 9280 15996 3  3 93  0  0  0
 0  0      0 1604440  8560 1386520   0    0     0     0 10666 19365 3 5 91  0  0  0
 0  0      0 1588632  8576 1386580   0    0     0    68 9052 16093 3  4 92  0  0  0
 0  0      0 1571048  8576 1386768   0    0     0     8 11152 20273 4 5 91  0  0  0
 0  0      0 1555240  8576 1387016   0    0    68    24 12547 23961 4 7 89  0  0  0
 0  0      0 1535420  8576 1387160   0    0     0    32 13524 25135 5 7 89  0  0  0
 5  0      0 1517376  8576 1387372   0    0     0    24 14206 26958 5 7 88  0  0  0
 0  0      0 1499304  8584 1387580   0    0     0    24 13675 26080 4 8 88  0  0  0
 2  0      0 1484996  8584 1387824   0    0     0    28 17577 34156 5 9 86  0  0  0
 0  0      0 1468448  8592 1388476   0    0   360    56 15769 31440 6 8 87  0  0  0
 0  0      0 1448404  8592 1388816   0    0     0    76 17744 34984 7 9 85  0  0  0
 7  0      0 1435144  8600 1388876   0    0     0    92 15703 30717 6 7 87  0  0  0
 0  0      0 1417060  8608 1389320   0    0     0    84 17448 34522 6 9 85  0  0  0
 0  0      0 1399048  8608 1389796   0    0     0    60 19331 38346 6 9 85  0  0  0
 2  0      0 1379520  8608 1389996   0    0     0    28 20686 41568 7 13 80 0  0  0
12  0      0 1359488  8608 1390472   0    0     0    32 21332 43092 9 11 80 0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1345696  8608 1390820   0    0     0    24 20575 41913 6 10 84 0  0  0
 1  0      0 1328136  8616 1390992   0    0     0    40 21740 44647 7 12 81 0  0  0
 7  0      0 1310620  8616 1391504   0    0     0  3824 20250 40713 7 12 81 0  0  0
 0  0      0 1291360  8624 1391660   0    0     0    64 21873 44987 7 13 80 0  0  0
