Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,11170,0,4,21.92414347860696,1.9461430001683766,3225.6656640001893,10022.53491495076,37.32317100924134,0.0,4,5,6,6,10,15,50,120,2700,3200,3200
GET,GET /?currency=X,8918,0,4,22.83046697421288,1.9014370000149938,3002.1760660001746,10023.117403005159,29.798392037637807,0.0,4,5,6,6,10,15,58,300,2700,3000,3000
GET,GET /?product_id=X,1203,0,4,21.801967835414334,2.0469810006034095,3160.2948099998684,10021.935993349958,4.0196754453104155,0.0,4,5,6,7,10,15,44,87,2700,3200,3200
GET,GET /cart,4505,0,4,17.572016386896617,2.0015719992443337,2656.673382000008,12093.671254162042,15.05289931930459,0.0,4,5,6,6,10,15,58,120,2300,2700,2700
GET,GET /product/[id],7925,0,4,19.276231528197837,1.95159099985176,2573.467850999805,7580.84643533123,26.48040557280552,0.0,4,5,6,6,10,14,64,130,2500,2600,2600
POST,POST /cart (add),5612,0,8,30.78555298716269,3.8085070000306587,3070.444961999783,17313.02102637206,18.751802659253574,0.0,8,9,11,13,29,49,86,140,2900,3100,3100
POST,POST /cart (pre-checkout add),2234,0,8,30.98028589660408,4.222044000016467,2795.739664999928,17350.30170098478,7.464634201848269,0.0,8,9,11,13,32,49,89,130,2500,2800,2800
POST,POST /cart/checkout,2234,0,5,12.316287795431304,2.177176000259351,2042.5303410002016,6435.200537153089,7.464634201848269,0.0,5,7,9,12,45,46,48,49,86,2000,2000
POST,POST /cart/empty,2244,0,7,23.251966049918632,3.314169000077527,3233.9806970003337,9978.921122994652,7.498047962823418,0.0,7,8,9,10,17,24,79,110,3100,3200,3200
POST,POST /setCurrency,3453,0,7,35.37499713523491,3.652211000371608,3198.508987000423,10023.429771213438,11.537771664718923,0.0,7,8,10,13,28,48,87,640,3100,3200,3200
,Aggregated,49498,0,5,23.242736454765243,1.9014370000149938,3233.9806970003337,10813.68035072124,165.39143407479213,0.0,5,6,8,8,13,26,64,130,2700,3200,3200
