Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,2185,121,89,1809.8287630315451,4.189044000668218,41406.30650700041,9437.726315789474,7.313466035453657,0.405002009285992,89,170,220,260,350,30000,30000,30000,41000,41000,41000
GET,GET /?currency=X,1735,109,91,2012.3401288276755,5.247416000202065,41405.02105499945,9363.868011527378,5.807260215795009,0.3648365207617614,91,170,220,260,350,30000,30000,30000,41000,41000,41000
GET,GET /?product_id=X,193,7,86,1205.1501048548264,5.0300330003665294,30054.689791000783,9627.357512953367,0.6459949404313756,0.02342986830580119,86,170,230,250,320,450,30000,30000,30000,30000,30000
GET,GET /cart,853,51,87,1919.4809965322365,3.8629459995718207,41405.98201100147,8227.178194607268,2.8550968092640594,0.1707033262279801,87,170,230,260,340,30000,30000,30000,41000,41000,41000
GET,GET /product/[id],1522,80,79,1705.0316513626835,4.716448000181117,41379.525050000666,7165.334428383706,5.094322794489916,0.2677699234948707,79,160,220,250,330,30000,30000,30000,41000,41000,41000
POST,POST /cart (add),1044,64,160,2055.0392638831263,9.474030999626848,41404.28653299932,15451.202107279694,3.4943975016080633,0.2142159387958966,160,250,310,360,560,30000,30000,30000,41000,41000,41000
POST,POST /cart (pre-checkout add),401,14,160,1246.9797282767847,9.361256001284346,35015.55332600037,15862.810473815462,1.3421967415180396,0.04685973661160238,160,250,300,350,440,590,30000,30000,35000,35000,35000
POST,POST /cart/checkout,392,13,43,1054.8723047832073,5.543674000364263,30005.404990000898,6221.630102040816,1.3120726251248667,0.0435126125679165,43,71,88,99,150,290,30000,30000,30000,30000,30000
POST,POST /cart/empty,422,29,190,2277.4657959313267,9.273272000427824,41382.26181000027,9287.59241706161,1.4124863464354431,0.09706659726689064,190,280,330,370,500,30000,30000,30000,41000,41000,41000
POST,POST /setCurrency,678,44,140,2142.6541320515994,7.972330000484362,41404.0073519991,9352.533923303834,2.2693501016190294,0.1472734579221789,140,240,300,340,480,30000,30000,30000,41000,41000,41000
,Aggregated,9425,532,96,1844.4217801395152,3.8629459995718207,41406.30650700041,9744.35522546419,31.54664411173946,1.7806699912408905,96,190,240,280,400,30000,30000,30000,41000,41000,41000
