Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,16912,0,4,5.104875210680374,1.7198519999510609,77.72990800003754,10023.732438505203,56.41521956177338,0.0,4,5,5,6,6,8,10,37,64,75,78
GET,GET /?currency=X,13691,0,4,5.099332023891501,2.055660999758402,85.3707160003978,10023.406106201153,45.67057539145218,0.0,4,5,5,6,7,8,10,35,59,71,85
GET,GET /?product_id=X,1701,0,4,5.283124604931526,2.0442969998839544,74.68606299880776,10022.80658436214,5.67421289466512,0.0,4,5,5,6,7,8,12,41,61,75,75
GET,GET /cart,6793,0,4,5.0825356361018805,2.0636859990190715,73.8780770006997,12185.089945532165,22.66015766811297,0.0,4,5,5,5,6,8,10,37,63,74,74
GET,GET /product/[id],11898,0,4,5.019030960908369,2.0497570003499277,78.96204500138992,7580.240208438393,39.68946797220788,0.0,4,5,5,5,6,7,10,41,66,73,79
POST,POST /cart (add),8504,0,8,12.369604849473573,3.6163860004307935,89.39277500030585,17349.826552210725,28.367728663275827,0.0,8,9,9,10,46,49,51,54,76,89,89
POST,POST /cart (pre-checkout add),3474,0,8,12.650031038874193,4.127782998693874,83.28437100135488,17363.218767990787,11.588604112913949,0.0,8,9,10,10,47,49,51,53,70,83,83
POST,POST /cart/checkout,3474,0,5,12.02085097581309,2.1506819994101534,65.39285599865252,6434.995682210708,11.588604112913949,0.0,5,6,7,8,46,47,48,49,52,65,65
POST,POST /cart/empty,3403,0,7,7.915722920380969,3.5567979994084453,93.0626339995797,9979.317954745813,11.351761599380014,0.0,7,8,8,9,10,11,15,44,70,93,93
POST,POST /setCurrency,5099,0,7,12.026461163958784,3.2177390003198525,87.28555599918764,10024.919592076878,17.009295443796265,0.0,7,8,9,10,46,49,51,54,73,87,87
,Aggregated,74949,0,5,7.185355222031877,1.7198519999510609,93.0626339995797,10834.810737968486,250.0156274204915,0.0,5,6,7,7,9,13,48,50,67,83,93
