procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0      0 1346884 35464 1525668   0    0    12  1022 12870  69 11 15 74  0  0  0
 3  0      0 1337840 35464 1525700   0    0     0     0 5372 8649  4  6 91  0  0  0
 0  0      0 1328332 35472 1525768   0    0     0   100 7173 11743 7  8 85  0  0  0
 1  0      0 1317048 35472 1525816   0    0     0     0 7117 11614 7 10 83  0  0  0
 0  0      0 1300024 35480 1526080   0    0    96    76 8974 15285 12 15 74 0  0  0
10  0      0 1283452 35480 1526208   0    0     0    16 11259 20221 12 15 72 0 0  0
 2  0      0 1270612 35480 1526344   0    0     0    84 9484 16864 9 13 78  0  0  0
22  0      0 1255800 35480 1526524   0    0     0     0 11428 21685 9 13 78 0  0  0
 2  0      0 1241716 35488 1526676   0    0     0    64 11917 23243 12 17 71 0 0  0
 9  0      0 1226148 35488 1526884   0    0     0    32 14438 26785 16 24 59 0 0  0
 5  0      0 1209040 35488 1527060   0    0     0    24 13022 25493 15 23 62 0 0  0
10  0      0 1191740 35488 1527272   0    0     0     0 13578 25979 12 17 71 0 0  0
 5  0      0 1171952 35488 1527484   0    0     0    28 15830 30515 14 22 65 0 0  0
 9  0      0 1157872 35496 1527720   0    0     0    24 15529 28602 14 23 63 0 0  0
 2  0      0 1142332 35496 1528012   0    0     0    24 17193 33977 15 27 58 0 0  0
 0  0      0 1125784 35496 1528272   0    0     0    16 16884 33420 18 24 58 0 0  0
 0  0      0 1110284 35500 1528548   0    0     0    84 16160 31505 19 30 51 0 0  0
 2  0      0 1094984 35508 1528836   0    0     0    64 16289 32275 19 26 55 0 0  0
11  0      0 1076668 35508 1529148   0    0     0    84 19735 39924 26 33 40 0 0  0
 0  0      0 1064152 35508 1529488   0    0    64    32 17871 34048 18 33 48 0 0  0
18  0      0 1048088 35508 1529800   0    0     0    24 17139 33802 20 32 49 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
12  0      0 1029008 35508 1530224   0    0     0     0 20560 42607 22 35 42 0 0  0
 2  0      0 1011024 35516 1530560   0    0     0    84 19823 39299 21 34 45 0 0  0
15  0      0 996236  35516 1530892   0    0     0     0 20056 39641 20 33 48 0 0  0
 1  0      0 981464  35524 1531264   0    0     0  4244 19364 38491 22 34 44 0 0  0
 0  0      0 962684  35524 1531524   0    0     0    16 20547 40976 18 28 53 0 0  0
 4  0      0 946108  35524 1532040   0    0     0    28 22768 47595 20 33 47 0 0  0
 3  0      0 931084  35524 1532404   0    0     0    24 20994 42510 19 31 50 0 0  0
 6  0      0 914560  35524 1532824   0    0     0    28 22557 47611 23 35 43 0 0  0
 2  0      0 898028  35540 1533276   0    0     0    88 20945 42652 23 33 45 0 0  0
 3  0      0 880236  35540 1533704   0    0     0    24 21916 44849 22 32 46 0 0  0
 5  0      0 863744  35540 1534144   0    0     0     0 21930 44551 19 28 53 0 0  0
11  0      0 856712  35548 1534540   0    0     0    92 25729 52685 20 33 47 0 0  0
11  0      0 855200  35548 1534900   0    0     0     0 23865 49066 17 30 53 0 0  0
 6  0      0 853184  35548 1535260   0    0     0    24 23812 49869 18 28 53 0 0  0
 1  0      0 850440  35548 1535664   0    0     0    16 25387 52658 19 32 49 0 0  0
 0  0      0 848704  35548 1536012   0    0     0    32 22813 47213 18 28 53 0 0  0
 7  0      0 847444  35560 1536456   0    0     0    80 25096 52644 19 29 52 0 0  0
 4  0      0 844924  35560 1536880   0    0     0    24 24207 50453 18 31 51 0 0  0
 1  0      0 843692  35560 1537268   0    0     0    32 24463 51054 17 31 52 0 0  0
15  0      0 842684  35560 1537732   0    0   120    56 22815 46176 17 28 54 0 0  0
 8  0      0 840920  35560 1538224   0    0     0     0 25938 55230 20 32 48 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0      0 839408  35568 1538568   0    0     0    56 23893 48759 17 31 51 0 0  0
 8  0      0 839408  35568 1538988   0    0     0     0 25717 52749 19 32 50 0 0  0
12  0      0 836888  35572 1539312   0    0     0    48 22386 45807 17 26 57 0 0  0
 0  0      0 836384  35572 1539664   0    0     0    16 22998 47894 18 29 52 0 0  0
 4  0      0 833360  35572 1540004   0    0     0    20 23613 48953 18 29 52 0 0  0
 9  0      0 832884  35580 1540396   0    0     0   100 23886 49690 21 31 48 0 0  0
 0  0      0 831876  35580 1540848   0    0     0    28 24753 52120 22 33 45 0 0  0
15  0      0 831680  35580 1541212   0    0     0  8276 23195 48502 19 34 47 0 0  0
 5  0      0 830952  35580 1541608   0    0     0     4 23194 48514 24 35 41 0 0  0
12  0      0 828964  35580 1541996   0    0     0    20 23066 46948 20 37 44 0 0  0
 5  0      0 828724  35596 1542584   0    0     0    84 23618 48651 23 35 41 0 0  0
 1  0      0 828248  35596 1543000   0    0     0    20 23835 47764 21 30 49 0 0  0
 1  0      0 827492  35596 1543396   0    0     0  3364 23112 48166 17 28 56 0 0  0
22  0      0 826736  35596 1543736   0    0     0    36 19949 40943 24 40 36 0 0  0
41  0      0 824972  35596 1543920   0    0    40     0 8406 13193 40 58 2  0  0  0
10  0      0 823964  35596 1544044   0    0    76   212 7815 12714 41 58 1  0  0  0
19  0      0 821220  35604 1544368   0    0     0    72 9508 18924 45 53 2  0  0  0
 8  0      0 817148  35612 1545076   0    0     0    88 20752 44726 9 13 78 0  0  0
 0  0      0 816644  35612 1545376   0    0     0     0 22845 47242 7 9 83  0  0  0
 0  0      0 811856  35612 1545724   0    0     0    24 23527 48545 8 12 81 0  0  0
 2  0      0 811352  35620 1546108   0    0     0    60 27227 58389 10 14 76 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0      0 810400  35620 1546608   0    0     0    24 29980 64764 10 17 72 0 0  0
 4  0      0 810148  35620 1546924   0    0     0     0 23060 46415 8 12 79 0  0  0
 4  0      0 809896  35620 1547340   0    0     0    40 27395 58340 9 15 76 0  0  0
10  0      0 808888  35620 1547752   0    0     0     0 27589 58969 11 15 74 0 0  0
 3  0      0 808888  35624 1548204   0    0     0    88 25342 53003 9 14 77 0  0  0
 7  0      0 807124  35632 1548560   0    0     0    52 26066 54525 9 15 76 0  0  0
 1  0      0 806648  35632 1548936   0    0     0    56 25918 54379 9 12 79 0  0  0
 1  0      0 806648  35632 1549360   0    0     0     0 26866 56530 10 14 77 0 0  0
 0  0      0 805388  35632 1549784   0    0     0    28 27847 58401 9 15 76 0  0  0
 0  0      0 804884  35632 1550164   0    0     0     0 25652 54193 8 13 78 0  0  0
 0  0      0 803904  35640 1550552   0    0     0    56 25243 53726 9 11 80 0  0  0
 6  0      0 802896  35640 1550904   0    0     0     0 26455 55389 10 14 76 0 0  0
 0  0      0 801636  35648 1551392   0    0     0  7708 27666 60057 9 15 76 0  0  0
 1  0      0 798108  35648 1551808   0    0     0     0 27628 59051 10 15 75 0 0  0
 8  0      0 797856  35652 1552268   0    0     0    88 27031 55512 10 14 75 0 0  0
 7  0      0 796120  35652 1552584   0    0     0     4 24269 51002 8 13 79 0  0  0
 0  0      0 795644  35652 1552984   0    0     0    80 28315 59463 10 14 76 0 0  0
 0  0      0 794636  35652 1553456   0    0     0     0 26049 55246 8 13 79 0  0  0
 6  0      0 791360  35652 1553764   0    0     0    24 26448 54296 8 14 78 0  0  0
 6  0      0 791136  35660 1554180   0    0     0    32 27535 57392 8 14 78 0  0  0
 2  0      0 791136  35668 1554632   0    0     0    48 28531 60173 9 14 77 0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 790632  35668 1555080   0    0     0     0 25914 54213 10 14 76 0 0  0
 6  0      0 789120  35668 1555428   0    0     0    40 25229 52199 9 13 78 0  0  0
 6  0      0 786600  35668 1555860   0    0     0     0 27829 58397 11 13 75 0 0  0
 0  0      0 786348  35668 1556228   0    0     0    52 26713 56275 10 15 75 0 0  0
 0  0      0 786096  35676 1556664   0    0     0    36 26612 56827 11 17 72 0 0  0
 0  0      0 786096  35684 1556984   0    0     0   112 24543 51332 10 12 78 0 0  0
 8  0      0 786096  35684 1557368   0    0     0     0 24644 53350 8 13 79 0  0  0
 2  0      0 785868  35684 1557736   0    0     0    28 24108 49850 8 11 80 0  0  0
 0  0      0 785364  35692 1558140   0    0     0    84 26186 56580 10 13 77 0 0  0
 5  0      0 785364  35692 1558516   0    0     0    28 27010 56919 9 13 78 0  0  0
 6  0      0 785364  35692 1558840   0    0     0     0 22224 46399 7 12 81 0  0  0
 0  0      0 785364  35692 1559272   0    0     0    40 29311 62761 11 15 74 0 0  0
 1  0      0 783388  35692 1559600   0    0     0     0 24479 52387 9 13 78 0  0  0
 0  0      0 783388  35700 1560164   0    0   124    60 25921 53997 9 14 77 0  0  0
 6  0      0 783164  35708 1560556   0    0     0    76 27377 58643 11 14 75 0 0  0
 1  0      0 782436  35708 1560996   0    0     0    84 25637 55021 9 13 78 0  0  0
 0  0      0 782184  35708 1561356   0    0     0  8220 25575 55045 8 13 79 0  0  0
 6  0      0 780672  35716 1561852   0    0     0    88 28231 60884 10 14 76 0 0  0
 0  0      0 780672  35716 1562144   0    0     0     0 24235 50617 7 10 83 0  0  0
 4  0      0 780672  35716 1562548   0    0     0    24 25429 53951 9 13 78 0  0  0
 9  0      0 779440  35716 1562916   0    0     0     0 25489 53753 9 13 79 0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 6  0      0 778684  35716 1563308   0    0     0  3948 26023 55211 9 12 79 0  0  0
 0  0      0 777424  35724 1563656   0    0     0    40 28289 59521 10 17 74 0 0  0
 0  0      0 777424  35732 1564092   0    0     0    80 26237 53513 10 15 75 0 0  0
 7  0      0 777424  35732 1564440   0    0     0    24 25810 54729 9 12 79 0  0  0
 6  0      0 777172  35740 1564832   0    0     0   100 26809 56536 11 14 75 0 0  0
 8  0      0 776920  35740 1565268   0    0     0     0 26546 55471 10 15 75 0 0  0
 5  0      0 775184  35740 1565648   0    0     0    24 26383 55493 9 14 78 0  0  0
 3  0      0 774932  35740 1566024   0    0     0     0 24875 53366 8 13 79 0  0  0
 0  0      0 774708  35740 1566488   0    0     0    24 29208 63127 10 14 76 0 0  0
 0  0      0 774204  35748 1566868   0    0     0    24 25073 53753 10 13 77 0 0  0
11  0      0 772972  35748 1567284   0    0     0    40 25707 53800 9 12 78 0  0  0
 2  0      0 772216  35748 1567628   0    0     0     0 27135 57234 8 13 79 0  0  0
 0  0      0 771992  35748 1568032   0    0     0    28 26531 54926 8 13 79 0  0  0
 0  0      0 771992  35756 1568424   0    0     0    64 24695 51437 8 12 80 0  0  0
 7  0      0 771516  35756 1568828   0    0     0    60 28671 60243 10 14 76 0 0  0
 0  0      0 770256  35756 1569220   0    0     0     0 26595 55788 9 14 76 0  0  0
 0  0      0 766224  35756 1569712   0    0     0    28 27996 59460 10 14 77 0 0  0
 0  0      0 765748  35760 1570088   0    0     0    64 26499 57445 10 15 75 0 0  0
 0  0      0 765244  35760 1570504   0    0     0    28 26406 55166 9 11 80 0  0  0
 0  0      0 764236  35760 1570900   0    0     0     0 27333 59089 9 14 77 0  0  0
 1  0      0 764236  35760 1571268   0    0     0    40 26915 56726 10 12 78 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 761212  35760 1571808   0    0   104  8164 26888 57209 10 14 76 1 0  0
 7  0      0 760456  35772 1572208   0    0     0   108 27975 59524 9 15 76 0  0  0
