Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,37878,35952,1,571.0647927365923,0.31220700111589395,35205.30871399933,508.0243677068483,126.30233702414782,119.88018429410641,1,1,2,2,3,11,13000,31000,35000,35000,35000
GET,GET /?currency=X,30091,28524,1,542.6786644774915,0.30666399925394217,35234.0871209999,520.3696454089262,100.33696666649855,95.1118818648501,1,1,2,2,4,14,12000,31000,35000,35000,35000
GET,GET /?product_id=X,3849,3625,1,659.8657177251108,0.34509299985074904,35131.44695900064,581.3393089114055,12.834302106920772,12.08738507082042,1,1,2,2,4,24,14000,32000,35000,35000,35000
GET,GET /cart,15380,14604,1,562.1083465224266,0.3101580005022697,35257.136287999856,437.5481144343303,51.28385721081877,48.6963231928997,1,1,2,2,3,13,13000,32000,35000,35000,35000
GET,GET /product/[id],26698,25354,1,567.1825459717978,0.3030819998457446,35318.4282430002,380.7059704846805,89.02317424021064,84.54167202360853,1,1,2,2,3,12,13000,31000,35000,35000,35000
POST,POST /cart (add),19159,18187,1,617.7675354860439,0.3354360014782287,35241.1694529992,833.7146510778224,63.88474774395819,60.643661319451304,1,1,2,2,4,49,13000,32000,35000,35000,35000
POST,POST /cart (pre-checkout add),7754,7351,1,622.5532616973088,0.3404279996175319,35273.85178300028,855.2161465050297,25.85533347286663,24.5115496980968,1,1,2,2,4,48,13000,33000,35000,35000,35000
POST,POST /cart/checkout,7754,7354,1,242.4018198278365,0.3421790006541414,34751.8440949998,331.9414495744132,25.85533347286663,24.52155305125886,1,1,1,2,3,13,160,16000,19000,35000,35000
POST,POST /cart/empty,7655,7298,1,535.7343995653844,0.3250660010962747,35172.057924,465.0583932070542,25.525222818518706,24.33482379223377,1,1,2,2,3,14,12000,31000,35000,35000,35000
POST,POST /setCurrency,11350,10813,1,583.1024566204316,0.3481460007606074,35250.84229500044,473.19629955947136,37.846019463120484,36.055419247112056,1,1,2,2,4,16,13000,31000,35000,35000,35000
,Aggregated,167568,159062,1,558.2817403519757,0.3030819998457446,35318.4282430002,526.0055738565836,558.7472942199272,530.384453554438,1,1,2,2,4,14,13000,31000,35000,35000,35000
