procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 1273940 39572 1548636   0    0    11   955 15355  85 11 16 73  0  0  0
 0  0      0 1257948 39592 1548676   0    0     0   140 8343 15066 5  6 89  0  0  0
 0  0      0 1228576 39592 1548816   0    0     0    32 8680 16549 5  5 90  0  0  0
 0  0      0 1193732 39592 1549004   0    0     0    28 9818 18650 4  7 89  0  0  0
 0  0      0 1153756 39592 1549328   0    0     0    16 13413 27119 6 9 85  0  0  0
 1  0      0 1109376 39592 1549488   0    0     0    32 15067 30510 6 9 84  0  0  0
 0  0      0 1065740 39600 1549972   0    0     0    36 17764 36530 8 12 80 0  0  0
 2  0      0 1023880 39608 1550456   0    0     0    52 18296 36888 7 11 82 0  0  0
 3  0      0 983452  39608 1550808   0    0     0     0 21431 44153 9 14 77 0  0  0
 4  0      0 940880  39608 1551424   0    0     0    56 22351 47125 10 14 76 0 0  0
 5  0      0 895768  39608 1552004   0    0    72     0 22251 47363 10 13 77 0 0  0
 2  0      0 848908  39608 1552436   0    0     0    28 24316 50625 11 15 75 0 0  0
 0  0      0 806364  39612 1553100   0    0     0    56 25992 55159 12 17 71 0 0  0
 0  0      0 763076  39616 1553840   0    0     0    80 28950 62097 11 19 70 0 0  0
10  0      0 719884  39616 1554396   0    0     0    16 27818 58741 12 18 70 0 0  0
12  0      0 673984  39616 1555244   0    0     0    48 30422 65285 13 21 66 0 0  0
 6  0      0 634740  39624 1555764   0    0     0    72 31325 66177 13 20 66 0 0  0
 4  0      0 590100  39628 1556356   0    0     0  5856 30214 65086 13 21 66 0 0  0
 2  0      0 543620  39628 1557328   0    0     0     0 33491 72580 14 22 64 0 0  0
 8  0      0 495696  39628 1557788   0    0     0    56 32965 70812 15 24 61 0 0  0
 0  0      0 450472  39628 1558936   0    0     0     0 31552 70919 14 21 65 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 406552  39636 1559524   0    0     0    72 36874 80593 19 26 55 0 0  0
 0  0      0 365340  39636 1560444   0    0     0   284 35155 74370 15 23 61 0 0  0
 0  0      0 323140  39640 1561324   0    0     0    84 35777 78972 16 26 58 0 0  0
 0  0      0 273200  39640 1562280   0    0     0    16 39429 86004 17 27 55 0 0  0
11  0      0 232528  39640 1563344   0    0     0    48 39480 86951 18 27 55 0 0  0
 0  0      0 185788  39640 1564300   0    0     0     0 37153 83640 19 30 52 0 0  0
 7  0      0 139876  39648 1565564   0    0     0   100 37523 82980 21 33 46 0 0  0
 9  0      0 121008  37884 1548124   0    0     0     0 39241 87786 19 29 52 0 0  0
 1  0      0 120644  34440 1504640   0    0    28    56 40120 89978 21 33 46 0 0  0
 8  0      0 124764  31376 1457656   0    0     0     0 42967 96553 23 33 44 0 0  0
14  0      0 122756  29952 1435040   0    0    36    64 44575 101384 20 32 48 0 0 0
 3  0      0 118748  29952 1436012   0    0     0     0 44617 99752 20 29 52 0 0  0
 8  0      0 112248  29952 1436972   0    0   132    48 43718 97609 20 32 48 0 0  0
11  0      0 109032  29952 1438236   0    0     0    16 45091 100024 19 34 46 0 0 0
 9  0      0 123416  29240 1427120   0    0     4    96 40735 93147 20 32 48 0 0  0
14  0      0 119728  29240 1428220   0    0    32     0 42998 98438 19 32 48 0 0  0
 5  0      0 117740  29240 1429180   0    0     0    24 45636 104369 19 32 49 0 0 0
 6  0      0 114932  29240 1430348   0    0     0     0 46512 104097 20 31 50 0 0 0
11  0      0 113048  29240 1431296   0    0    12    56 46289 102660 20 34 45 0 0 0
 0  0      0 111536  29244 1432244   0    0    24    24 43059 96428 17 28 54 0 0  0
10  0      0 107308  29248 1433072   0    0     0    56 45031 99123 20 32 48 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
16  0      0 131928  27672 1411252   0    0    76     0 42061 92860 18 31 51 0 0  0
 2  0      0 128708  27672 1412212   0    0   160    48 46045 101167 19 32 49 0 0 0
 8  0      0 125488  27672 1413204   0    0     0    16 43937 96468 19 32 49 0 0  0
 7  0      0 123220  27672 1414120   0    0     0    48 43017 94917 21 34 45 0 0  0
 6  0      0 121708  27684 1415208   0    0     4   108 41167 93070 18 30 52 0 0  0
 2  0      0 120224  27684 1416324   0    0   220    24 45026 100079 19 32 49 0 0 0
12  0      0 117380  27684 1417220   0    0     0 27548 43795 97906 19 33 48 0 0  0
 2  0      0 117032  27704 1418280   0    0   140   100 42669 96264 20 31 50 0 0  0
 5  0      0 115832  27728 1419304   0    0    24     0 47383 104799 19 32 48 0 0 0
 2  0      0 109308  27764 1420428   0    0   200    28 44204 97881 20 29 52 0 0  0
 8  0      0 108076  27764 1421404   0    0     0     0 44280 99082 19 29 52 0 0  0
 7  0      0 121472  27036 1410996   0    0     0    88 44604 98023 21 32 47 0 0  0
 0  0      0 119296  27044 1411880   0    0     0    76 44363 100874 20 34 45 0 0 0
14  0      0 118552  27044 1413116   0    0   112    24 44559 97784 19 32 49 0 0  0
12  0      0 117600  27052 1413908   0    0    32    52 42474 97219 21 30 49 0 0  0
16  0      0 116396  27052 1415056   0    0     0    28 46990 105500 21 34 45 0 0 0
 3  0      0 114468  27052 1415916   0    0     0    12 46005 102538 19 32 49 0 0 0
