Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,22621,0,5,6.000027048046942,1.8960209999931976,112.07602499962377,10022.795588170284,75.44159423440858,0.0,5,6,6,7,8,9,14,48,87,110,110
GET,GET /?currency=X,18178,0,5,6.078691928541167,1.9982089997938601,118.86856899945997,10022.610793266585,60.62407939494626,0.0,5,6,6,7,8,9,14,50,89,110,120
GET,GET /?product_id=X,2261,0,5,6.018236742134411,1.9051230010518339,92.093871000543,10025.043343653251,7.540490896246754,0.0,5,6,6,7,8,9,13,53,81,92,92
GET,GET /cart,9027,0,5,5.8930748416991,1.9103329996141838,98.00431999974535,12012.476459510357,30.105268164714484,0.0,5,6,6,6,8,9,14,46,84,98,98
GET,GET /product/[id],16031,0,5,5.849536001870111,1.695732998996391,104.97266099991975,7580.881479633211,53.46378131699766,0.0,5,5,6,6,7,9,13,50,84,96,100
POST,POST /cart (add),11256,0,9,15.316096612557955,3.853635000268696,109.05251199983468,17357.37579957356,37.53903826986,0.0,9,10,12,13,49,51,54,67,98,110,110
POST,POST /cart (pre-checkout add),4629,0,9,15.137405406137862,3.831572999843047,113.58811400168634,17344.39749405919,15.437829437738268,0.0,9,10,12,13,49,51,54,66,97,110,110
POST,POST /cart/checkout,4629,0,6,14.255719577014018,2.185576000556466,82.01147600084369,6434.681140635126,15.437829437738268,0.0,6,8,9,42,47,48,49,51,61,82,82
POST,POST /cart/empty,4514,0,8,9.265669447045653,3.684258001158014,110.0334410002688,9979.433318564466,15.054301594718199,0.0,8,9,10,10,12,14,21,66,100,110,110
POST,POST /setCurrency,6712,0,8,14.807319317343573,3.402107000511023,114.62275600024441,10024.641686531586,22.38468593348439,0.0,8,10,11,13,48,50,53,70,110,110,110
,Aggregated,99858,0,6,8.576916455434434,1.695732998996391,118.86856899945997,10808.64398445793,333.0288986808529,0.0,6,7,8,8,11,45,50,55,93,110,120
