Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,11150,0,4,4.5704184875228036,2.0096910011488944,49.545362999197096,10023.337668161435,37.21085947725108,0.0,4,4,5,5,6,7,9,26,43,49,50
GET,GET /?currency=X,9111,0,4,4.575378190758631,1.9924040007026633,52.096382998570334,10024.44254198222,30.40611127329458,0.0,4,4,5,5,6,7,9,25,41,52,52
GET,GET /?product_id=X,1111,0,4,4.715418398758381,2.337398000236135,48.18648500076961,10022.711071107111,3.707736760468695,0.0,4,5,5,5,6,7,9,25,45,48,48
GET,GET /cart,4549,0,4,4.536787952943239,1.926183000250603,52.06883600112633,12169.239173444714,15.181363207355618,0.0,4,4,5,5,6,7,8,24,39,52,52
GET,GET /product/[id],8024,0,4,4.483542944410567,1.8397969997749897,64.93306199990911,7581.3642821535395,26.778469636364363,0.0,4,4,5,5,6,6,8,26,41,65,65
POST,POST /cart (add),5681,0,7,10.199187399051008,3.7805520005349535,64.48068799909379,17397.81200492871,18.95918320092048,0.0,7,8,8,9,11,47,49,49,53,64,64
POST,POST /cart (pre-checkout add),2202,0,7,10.336660630802609,3.9251039997907355,61.88595500134397,17337.19936421435,7.348727584655325,0.0,7,8,8,9,11,47,49,50,58,62,62
POST,POST /cart/checkout,2200,0,5,10.37231911227619,2.394102000835119,56.796205000864575,6435.344545454545,7.342052991027119,0.0,5,5,6,7,45,46,47,48,50,57,57
POST,POST /cart/empty,2288,0,6,7.02772545368678,3.6180800016154535,47.58626299917523,9979.017482517482,7.635735110668203,0.0,6,7,7,8,9,10,12,27,44,48,48
POST,POST /setCurrency,3466,0,7,9.883525657524086,3.537673999744584,61.119022999264416,10025.08886324293,11.567070757681815,0.0,7,7,8,8,11,47,48,49,56,61,61
,Aggregated,49782,0,5,6.194142698040382,1.8397969997749897,64.93306199990911,10830.602828331526,166.1373099996873,0.0,5,5,6,7,8,10,45,47,51,62,65
