Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,28329,0,6,7.2330671647789595,1.7238039999938337,144.78471700022055,10023.71492110558,94.7112256614798,0.0,6,7,7,8,9,12,22,64,120,140,140
GET,GET /?currency=X,22702,0,6,7.3255895289805935,1.8672299993340857,143.7359009996726,10023.167518280328,75.8986990351553,0.0,6,7,7,8,10,12,24,66,120,140,140
GET,GET /?product_id=X,2872,0,6,7.5510316789644305,2.1721399998568813,143.2085559999905,10022.41922005571,9.601844050258393,0.0,6,7,7,8,10,12,24,69,130,140,140
GET,GET /cart,11362,0,6,7.308111102358438,2.0623649998015026,141.20151800034364,12311.017866572787,37.986125382672654,0.0,6,6,7,8,9,12,24,73,110,140,140
GET,GET /product/[id],19800,0,5,6.979025629594845,1.9347239995113341,147.77674899960402,7581.853585858586,66.19655717100146,0.0,5,6,7,7,9,11,22,64,120,140,150
POST,POST /cart (add),13959,0,10,18.374867011321314,3.929901000446989,157.46253799989063,17348.374310480693,46.668572805556025,0.0,10,13,15,19,50,53,62,96,140,160,160
POST,POST /cart (pre-checkout add),5647,0,10,17.94342785993152,3.9360999999189517,151.38243100045656,17359.168939259784,18.87939183558814,0.0,10,13,15,19,50,53,59,85,140,150,150
POST,POST /cart/checkout,5647,0,7,15.793653897640086,2.2310590002234676,119.15083900021273,6434.895165574641,18.87939183558814,0.0,7,9,12,45,48,49,51,53,74,120,120
POST,POST /cart/empty,5639,0,9,11.436630830115673,3.7689740001951577,141.2362260007285,9979.324702961518,18.852645751882687,0.0,9,10,12,12,15,19,39,92,140,140,140
POST,POST /setCurrency,8432,0,10,17.413162593090657,3.5706099997696583,157.61921699959203,10025.55965370019,28.19037222554971,0.0,10,12,14,17,50,52,57,90,140,160,160
,Aggregated,124389,0,6,10.22955518191243,1.7238039999938337,157.61921699959203,10834.001487269774,415.8648257547323,0.0,6,8,9,10,14,47,53,73,130,150,160
