Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,22592,0,5,6.093792544216959,1.8998229998032912,106.75092899964511,10024.031161473087,75.32169070445812,0.0,5,6,6,7,8,9,14,51,90,110,110
GET,GET /?currency=X,18189,0,5,6.22447422903948,1.9351450000613113,131.49730399982218,10023.684919456815,60.64209597306077,0.0,5,6,6,7,8,10,15,54,91,130,130
GET,GET /?product_id=X,2196,0,5,6.013919514584888,2.0359449999887147,120.38526299966179,10023.621584699453,7.321460374778242,0.0,5,6,6,7,8,10,14,39,86,120,120
GET,GET /cart,9249,0,5,6.106529867438155,1.7567580007380457,102.68374800034508,12191.268677694887,30.83615073147721,0.0,5,6,6,7,8,9,15,54,88,100,100
GET,GET /product/[id],15940,0,5,5.962718943292437,1.661459999922954,106.52539900002012,7582.743287327478,53.14393368577649,0.0,5,5,6,6,8,9,14,50,90,110,110
POST,POST /cart (add),11141,0,9,15.520000706399989,3.7834719996681088,140.06821099974331,17340.70406606229,37.14407560810765,0.0,9,11,12,14,49,51,55,69,100,120,140
POST,POST /cart (pre-checkout add),4556,0,9,15.34709977457954,4.134437999709917,118.4775379997518,17390.03116769096,15.189696478820432,0.0,9,11,12,13,48,51,56,75,100,120,120
POST,POST /cart/checkout,4556,0,6,13.680230608432849,2.220506999947247,135.18543599911936,6434.732879719052,15.189696478820432,0.0,6,8,9,12,46,48,49,51,62,140,140
POST,POST /cart/empty,4432,0,8,9.508476143967664,3.5878750004485482,129.71403000028658,9979.165388086643,14.7762806835233,0.0,8,9,10,10,12,14,22,65,99,130,130
POST,POST /setCurrency,6996,0,8,14.806778883363352,3.4248880001541693,106.3504739995551,10026.078759291024,23.324652450796258,0.0,8,10,11,13,48,50,53,64,96,110,110
,Aggregated,99847,0,6,8.67833947237334,1.661459999922954,140.06821099974331,10821.858233096638,332.8897331696189,0.0,6,7,8,9,11,44,51,57,93,120,140
