procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1437892  9240 1430284   0    0 24502   925 17803  97 11 19 70  0  0  0
 0  0      0 1409100  9240 1430516   0    0   128    40 8647 15024 6  8 87  0  0  0
 0  0      0 1346744  9252 1430788   0    0     0   188 13339 25705 8 8 84  0  0  0
 0  0      0 1290316  9252 1431360   0    0   120    28 12545 23900 7 10 84 0  0  0
 6  0      0 1225256  9252 1431928   0    0     0     0 17718 34945 9 13 78 0  0  0
 1  0      0 1162692  9260 1432424   0    0     4    88 19729 40741 10 13 77 0 0  0
 0  0      0 1091560  9260 1433160   0    0    64     0 23334 48319 11 17 72 0 0  0
 5  0      0 1022400  9260 1433912   0    0    12    56 23840 49628 12 17 71 0 0  0
 1  0      0 956384   9260 1434620   0    0     0     0 27857 58757 12 19 69 0 0  0
11  0      0 887272   9268 1435428   0    0   128    48 27357 57658 12 20 68 0 0  0
 4  0      0 812816   9268 1436308   0    0     0     0 30466 64193 15 22 63 0 0  0
 1  0      0 739028   9268 1437444   0    0   256    40 30837 65591 16 24 60 0 0  0
10  0      0 667520   9268 1438476   0    0     0     0 33643 71931 15 23 62 0 0  0
 7  0      0 599708   9268 1439896   0    0   212    24 37192 82471 17 25 57 0 0  0
 3  0      0 528664   9276 1441700   0    0    64    36 35219 77830 18 28 54 0 0  0
11  0      0 460304   9276 1442840   0    0     0    60 36701 79635 17 27 56 0 0  0
 5  0      0 388720   9276 1444096   0    0     0     0 37431 81334 17 30 53 0 0  0
 5  0      0 314848   9284 1445480   0    0     0   104 38806 84565 18 31 50 0 0  0
10  0      0 239284   9292 1446904   0    0     0    52 41796 93925 24 36 40 0 0  0
 2  0      0 166956   9292 1448476   0    0     0  8500 42392 93076 20 34 46 0 0  0
 8  0      0 117640   9116 1422988   0    0   688     0 41369 92854 24 35 40 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 8  0      0 118820   8524 1351392   0    0  4100  4140 44589 98213 24 40 37 0 0  0
 7  0      0 122712   6700 1282112   0    0  1464     0 40713 90058 22 37 40 0 0  0
 0  0      0 129724   5152 1204360   0    0  5168  2788 46031 101958 23 37 39 0 0 0
10  0      0 116904   4220 1147740   0    0 11560     0 41556 91510 24 42 34 0 0  0
13  2      0 130260   2344 1066992   0    0 103880 3728 40423 82687 27 54 19 1 0  0
24  2      0  99088   2336 1027908   0    0 718120  544 34600 37456 13 84 2 1  0  0
31  2      0  95060   2336 1031256   0    0 1258780   0 35040 23366 3 97 0  0  0  0
22 17      0  95196   2356 1032128   0    0 1272320   0 34459 24460 1 95 0  3  0  0
31  2      0  91872   2316 1034076   0    0 1329592   0 36292 23994 2 98 0  1  0  0
