procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 8  0      0 127236  15176 1470600   0    0    12    68 45438 101774 19 30 50 0 0 0
 6  0      0 126152  15176 1469624   0    0     0    24 45117 102168 19 34 46 0 0 0
 6  0      0 124872  15176 1468264   0    0    44     0 43032 94980 18 33 49 0 0  0
13  0      0 126684  15128 1467216   0    0     0    24 43576 97177 17 30 54 0 0  0
 1  0      0 120568  15128 1468304   0    0     0     0 46029 101051 20 33 47 0 0 0
 7  0      0 119960  15136 1467172   0    0     0   100 44370 99066 16 28 56 0 0  0
 3  0      0 125376  15136 1465972   0    0     0     0 43830 98034 20 33 47 0 0  0
14  0      0 123684  15144 1464932   0    0     0    76 43032 96439 18 30 52 0 0  0
 9  0      0 121400  15144 1465912   0    0     0     0 44406 99194 18 30 52 0 0  0
23  0      0 122228  15152 1464728   0    0    20   124 44328 98247 19 32 50 0 0  0
 1  0      0 118352  15152 1465708   0    0     0    32 46345 102840 19 28 53 0 0 0
 2  0      0 119632  15160 1464436   0    0     0    64 44353 100837 19 31 50 0 0 0
 6  0      0 118848  15152 1463528   0    0     4   132 44334 99857 19 32 49 0 0  0
 0  0      0 121948  15152 1462616   0    0     0    28 45602 102499 19 34 47 0 0 0
12  0      0 119084  15152 1461592   0    0     0     0 44329 100160 20 32 48 0 0 0
 6  0      0 118868  15152 1460420   0    0     0    64 43926 99529 20 33 47 0 0  0
 9  0      0 115996  15160 1461264   0    0    52    32 43741 94806 18 29 53 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 9  0      0 116484  15168 1458872   0    0  1064    68 44725 98450 17 31 52 0 0  0
 9  0      0 116624  15168 1458332   0    0   652     0 43387 96474 19 30 51 0 0  0
 7  0      0 111932  15168 1460568   0    0  1232    28 44297 98926 19 31 50 0 0  0
10  0      0 118636  15152 1450940   0    0  2272    32 44542 97683 20 32 48 0 0  0
10  0      0 116552  15152 1452208   0    0   228    24 43934 97800 20 32 49 0 0  0
13  0      0 114116  15160 1452968   0    0     0    40 42602 96608 19 32 49 0 0  0
 3  0      0 113168  15176 1454196   0    0    28 16532 44310 97967 20 33 47 0 0  0
 3  0      0 110728  15184 1455140   0    0    28    92 45624 100600 19 30 50 0 0 0
 0  0      0 126424  15080 1440776   0    0   228    68 45269 100344 21 34 45 0 0 0
 1  0      0 123012  15080 1441704   0    0     0     0 44543 98969 20 31 49 0 0  0
10  0      0 120772  15088 1442636   0    0     0    56 45629 100867 17 28 54 0 0 0
12  0      0 119064  15088 1443508   0    0     0 13628 43176 95371 20 32 48 0 0  0
 8  0      0 185316  15088 1374076   0    0     0    28 42233 94243 18 31 50 0 0  0
 7  0      0 182360  15088 1375068   0    0    28    32 44228 99793 23 32 46 0 0  0
 0  0      0 180372  15088 1376252   0    0     0    24 45677 100294 19 30 51 0 0 0
 5  0      0 178660  15096 1377564   0    0    92    52 44785 100050 20 31 49 0 0 0
 1  0      0 175916  15096 1378756   0    0     0    24 44752 98420 19 32 50 0 0  0
 7  0      0 174180  15096 1379620   0    0    28     0 47118 102635 16 28 56 0 0 0
 1  0      0 172920  15104 1380896   0    0   256    96 44482 99718 19 31 50 0 0  0
 8  0      0 166144  15104 1381820   0    0   116     0 43171 96676 20 30 50 0 0  0
 2  0      0 165892  15104 1383016   0    0     0    48 43018 96249 19 30 51 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
12  0      0 164884  15104 1383832   0    0     0     0 45969 104591 19 33 48 0 0 0
 5  0      0 164536  15120 1384948   0    0     0   120 44314 98833 20 32 48 0 0  0
 8  0      0 163180  15128 1385688   0    0     8    32 44440 100619 23 32 46 0 0 0
 6  0      0 161444  15128 1387488   0    0   400    24 44102 99621 21 35 44 0 0  0
12  0      0 160464  15128 1388280   0    0     0     0 42689 94006 19 32 49 0 0  0
10  0      0 159008  15128 1389524   0    0     0    28 46434 104086 21 35 44 0 0 0
 5  0      0 156304  15216 1390388   0    0    80    32 40673 89259 17 28 54 0 0  0
 0  0      0 155100  15216 1391408   0    0     0    40 46053 103387 21 29 49 0 0 0
 8  0      0 152888  15224 1392320   0    0     0    56 44711 95492 18 31 51 0 0  0
 4  0      0 152636  15224 1393588   0    0   176    24 45730 100304 20 31 49 0 0 0
 9  0      0 150928  15224 1394500   0    0     0    24 40111 88469 23 32 45 0 0  0
10  0      0 150424  15224 1395324   0    0     0    28 44653 100662 18 30 52 0 0 0
 3  0      0 149500  15224 1396528   0    0     0    32 45876 102532 20 32 48 0 0 0
10  0      0 147588  15240 1397256   0    0     0    84 42146 96300 21 33 46 0 0  0
13  0      0 146532  15240 1398524   0    0     0     0 41699 92376 18 31 51 0 0  0
 7  0      0 140200  15240 1399420   0    0    12 24480 42208 91830 21 36 43 0 0  0
 9  0      0 139628  15248 1400460   0    0     0   100 44350 100119 21 33 46 0 0 0
11  0      0 138660  15248 1401392   0    0     0    44 43986 98727 20 32 48 0 0  0
 4  0      0 136448  15256 1402472   0    0     0    56 44199 97522 18 30 52 0 0  0
 0  0      0 136448  15256 1403256   0    0     0    24 42687 93278 18 28 54 0 0  0
 7  0      0 135036  15256 1404340   0    0     0    28 38660 86496 20 32 48 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0      0 134588  15256 1405240   0    0     0    24 45276 100754 21 34 45 0 0 0
20  0      0 133608  15256 1406356   0    0     0    32 45110 97287 20 34 45 0 0  0
 0  0      0 132156  15272 1407272   0    0     0    80 44263 97920 18 30 52 0 0  0
 0  0      0 131176  15272 1408060   0    0     0     0 44499 99502 19 31 50 0 0  0
 5  0      0 128964  15272 1409128   0    0     0    24 44033 96765 20 32 48 0 0  0
14  0      0 128488  15272 1409964   0    0     0  9840 43919 95827 20 32 48 0 0  0
 8  0      0 127800  15272 1411088   0    0     0    44 45146 100873 21 33 47 0 0 0
 7  0      0 126848  15280 1411848   0    0     0    64 43105 96460 19 32 49 0 0  0
 1  0      0 125112  15280 1413020   0    0     0    24 43423 97343 19 34 47 0 0  0
 0  0      0 123348  15288 1413972   0    0     0    48 43321 96250 18 30 52 0 0  0
12  0      0 123124  15296 1414756   0    0     0   104 44620 99333 17 31 52 0 0  0
10  0      0 122396  15296 1415720   0    0     0    32 44371 99621 20 33 47 0 0  0
 4  0      0 121444  15296 1416800   0    0     0    24 45791 103173 20 35 45 0 0 0
11  0      0 120492  15296 1417972   0    0     0     0 43275 96238 18 31 51 0 0  0
11  0      0 120016  15304 1418800   0    0     0    64 42349 93769 18 29 53 0 0  0
 9  0      0 119512  15304 1419760   0    0     0     0 43624 98280 18 31 51 0 0  0
 0  0      0 118000  15304 1420796   0    0     0    40 44804 99258 21 33 46 0 0  0
 0  0      0 116012  15304 1421760   0    0     0    24 44083 97216 19 32 49 0 0  0
 2  0      0 114276  15304 1422788   0    0     0    24 43557 98563 19 31 50 0 0  0
 0  0      0 114024  15312 1423680   0    0     0    52 45009 101767 19 31 51 0 0 0
 2  0      0 113296  15320 1424576   0    0     0    52 44532 101302 18 29 53 0 0 0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0      0 112820  15320 1425772   0    0     0    32 47838 104686 22 32 46 0 0 0
 1  0      0 111616  15320 1426504   0    0     0    24 42483 97468 17 27 56 0 0  0
10  0      0 138092  15124 1424880   0    0     0  4136 43024 94454 17 29 53 0 0  0
 7  0      0 133984  15124 1425724   0    0    60    24 46570 103852 19 31 50 0 0 0
 2  0      0 132228  15140 1426760   0    0     8   132 43376 95172 19 30 51 0 0  0
 6  0      0 129912  15148 1428000   0    0    92    68 44710 100546 21 33 45 0 0 0
12  0      0 124468  15148 1428776   0    0     0    24 44913 100574 20 34 46 0 0 0
12  0      0 121556  15148 1429952   0    0     0    24 45159 100841 21 32 47 0 0 0
