procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 258944  38368 1563512   0    0     0    24 39133 86141 18 26 56 0 0  0
10  0      0 257936  38368 1564156   0    0     0    16 39019 88519 15 23 61 0 0  0
13  0      0 255444  38368 1564968   0    0     0    24 37779 84845 15 23 62 0 0  0
 4  0      0 253484  38376 1565784   0    0     0    36 38420 85020 16 25 59 0 0  0
13  0      0 250516  38384 1566428   0    0     0    52 37997 84573 15 23 62 0 0  0
10  0      0 248332  38384 1567220   0    0     0     0 37971 85537 14 22 64 0 0  0
 1  0      0 247352  38384 1567940   0    0     0    80 39644 90156 15 27 58 0 0  0
 7  0      0 244888  38384 1568884   0    0     0     0 38176 85197 16 25 59 0 0  0
 7  0      0 241640  38388 1569620   0    0     0 23688 36409 81598 18 27 54 0 0  0
15  0      0 235396  38400 1570424   0    0     0    88 37565 84827 16 26 58 0 0  0
 8  0      0 233408  38408 1571088   0    0     0    80 36770 83666 15 23 62 0 0  0
 7  0      0 232400  38408 1572008   0    0     0    16 39879 88564 16 25 59 0 0  0
14  0      0 229180  38416 1572776   0    0     0    72 40908 94443 15 26 60 0 0  0
 7  0      0 227696  38416 1573480   0    0     0    56 36687 83905 16 22 62 0 0  0
 9  0      0 226240  38416 1574256   0    0     0    24 37682 86549 14 23 63 0 0  0
 5  0      0 225260  38416 1575100   0    0     0     0 38471 86576 15 25 60 0 0  0
 7  0      0 223524  38416 1575896   0    0     0    64 38625 85956 16 24 60 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 220500  38420 1576576   0    0     0    36 39171 85522 16 24 60 0 0  0
17  0      0 218540  38424 1577404   0    0     0    92 39964 86913 16 26 58 0 0  0
 1  0      0 214788  38424 1578148   0    0     0    24 37143 81236 16 26 58 0 0  0
11  0      0 213528  38424 1578888   0    0     0    24 39358 85248 17 25 58 0 0  0
 7  0      0 210588  38424 1579844   0    0     0    16 41444 92684 16 27 57 0 0  0
 6  0      0 208096  38424 1580388   0    0     0    28 40806 91412 15 23 62 0 0  0
 7  0      0 205576  38432 1581296   0    0     0    32 40773 89619 16 25 59 0 0  0
 0  0      0 203308  38432 1581980   0    0     0    24 40312 86721 15 24 61 0 0  0
10  0      0 202328  38440 1582800   0    0     0    60 39777 87496 14 23 62 0 0  0
 0  0      0 201068  38448 1583724   0    0     0    88 40247 87432 17 25 58 0 0  0
10  0      0 200060  38448 1584452   0    0     0     0 40269 89885 17 26 57 0 0  0
 0  0      0 198100  38448 1585328   0    0     0    24 40023 87157 16 26 58 0 0  0
 7  0      0 212496  38448 1585928   0    0     0    24 41711 89732 15 25 59 0 0  0
 0  0      0 211740  38448 1586888   0    0     0    24 41704 90723 17 27 57 0 0  0
 2  0      0 208968  38456 1587644   0    0     0    48 38365 82387 18 23 59 0 0  0
 7  0      0 207736  38456 1588520   0    0     0    24 42533 92017 16 25 59 0 0  0
 5  0      0 207008  38456 1589332   0    0     0     0 41090 90636 15 22 63 0 0  0
 0  0      0 206532  38464 1590248   0    0     0 20280 41707 90216 15 26 59 0 0  0
11  0      0 294480  38464 1493156   0    0     0     0 38968 86472 16 25 59 0 0  0
 3  0      0 293724  38464 1494144   0    0     0    80 38093 82253 15 25 60 0 0  0
 4  0      0 292772  38464 1494788   0    0     0     0 39839 86114 15 25 60 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0      0 291036  38464 1495588   0    0     0    24 40342 86793 17 26 57 0 0  0
10  0      0 290028  38480 1496424   0    0     0   112 42211 92408 17 27 55 0 0  0
 0  0      0 289552  38480 1497196   0    0     0    52 38612 83890 15 24 61 0 0  0
 5  0      0 288796  38480 1497696   0    0     0    16 39808 87177 16 23 61 0 0  0
 7  0      0 288292  38488 1498688   0    0     0    56 41212 93466 16 28 56 0 0  0
 5  0      0 287800  38488 1499396   0    0     0     0 40932 88687 15 25 60 0 0  0
14  0      0 287296  38488 1500416   0    0     0    24 38406 82400 20 29 52 0 0  0
 2  0      0 287072  38488 1500944   0    0     0     0 39013 85549 16 25 59 0 0  0
10  0      0 286596  38488 1501764   0    0     0    64 37845 80583 15 24 61 0 0  0
11  0      0 285840  38496 1502696   0    0     0    24 40005 89625 17 29 54 0 0  0
 4  0      0 285112  38500 1503332   0    0     0    52 40742 89162 17 28 55 0 0  0
