Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,17114,0,4,5.24102114380242,1.8910849994426826,77.84982300017873,10023.91837092439,57.08797155249679,0.0,4,5,5,6,7,8,11,35,65,75,78
GET,GET /?currency=X,13634,0,4,5.328809099083777,1.8795779997162754,71.63946299988311,10023.257884700015,45.47957252230579,0.0,4,5,5,6,7,8,11,38,65,71,72
GET,GET /?product_id=X,1716,0,4,5.151000453956638,2.0001670000056038,63.76356200053124,10024.111305361306,5.724141590749357,0.0,4,5,6,6,7,8,10,14,61,64,64
GET,GET /cart,6772,0,4,5.223269306413358,1.877855000202544,75.53099400047358,12166.4003248671,22.58967765300387,0.0,4,5,5,6,7,8,11,39,65,76,76
GET,GET /product/[id],11933,0,4,5.170330301013737,1.7647559998295037,77.09576899924286,7582.267661107852,39.805467134272774,0.0,4,5,5,6,7,8,11,42,64,71,77
POST,POST /cart (add),8488,0,8,12.754839892086476,3.6223719998815795,86.67738100029965,17365.614632422243,28.31381924375323,0.0,8,9,10,11,47,49,51,54,74,87,87
POST,POST /cart (pre-checkout add),3500,0,8,12.969203946856267,3.8359090003723395,79.01745899926027,17359.48657142857,11.675113967146125,0.0,8,9,10,11,47,49,52,56,77,79,79
POST,POST /cart/checkout,3500,0,6,12.236915277143583,2.3503830007030047,75.95747100003791,6435.294285714286,11.675113967146125,0.0,6,7,7,9,46,47,48,49,53,76,76
POST,POST /cart/empty,3395,0,7,8.06105267069938,3.55162100004236,77.72287399984634,9979.494550810015,11.32486054813174,0.0,7,8,9,9,10,12,16,39,65,78,78
POST,POST /setCurrency,4992,0,7,12.399012447920617,3.705756000272231,81.28465099980531,10025.28685897436,16.65204826399813,0.0,7,8,9,10,46,49,51,56,79,81,81
,Aggregated,75044,0,5,7.3823904557463145,1.7647559998295037,86.67738100029965,10832.119303342039,250.32778644300393,0.0,5,6,7,7,9,14,48,51,68,79,87
