Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,34187,0,7,9.493871637058483,1.8491729997549555,215.34315300050366,10022.82622049317,114.1830317772431,0.0,7,8,9,10,13,18,41,79,150,200,220
GET,GET /?currency=X,26967,0,7,9.512070552825971,1.9255110000813147,182.29883099957078,10022.974932324692,90.0685587485569,0.0,7,8,10,10,13,18,38,79,150,180,180
GET,GET /?product_id=X,3283,0,7,9.211517965882122,2.2892889992363052,137.23416199991334,10021.773073408467,10.965071323154682,0.0,7,8,10,10,13,18,39,69,120,140,140
GET,GET /cart,13602,0,7,9.555980571680843,1.944787999491382,216.63056499983213,12212.432730480812,45.430064007782505,0.0,7,8,9,10,13,18,42,85,160,210,220
GET,GET /product/[id],23948,0,7,9.138636537787976,1.67070500083355,227.16364600000816,7580.227367629865,79.98523546966443,0.0,7,8,9,10,13,17,38,81,150,190,230
POST,POST /cart (add),16850,0,13,22.590327075253317,4.065008999532438,280.2330049999,17370.71471810089,56.278236915978184,0.0,13,17,22,38,54,59,81,120,180,280,280
POST,POST /cart (pre-checkout add),6703,0,14,22.845917750849292,4.108666000320227,253.89853499927995,17360.361927495152,22.387716442006038,0.0,14,17,23,46,54,59,80,110,210,250,250
POST,POST /cart/checkout,6703,0,9,17.747333099954332,2.0357319999675383,168.41612699954567,6434.783828136655,22.387716442006038,0.0,9,12,17,46,49,52,55,59,88,170,170
POST,POST /cart/empty,6829,0,11,15.374046762779017,3.584240000236605,282.9960019998907,9979.44779616342,22.808550735858457,0.0,11,14,15,17,21,29,84,110,210,280,280
POST,POST /setCurrency,10256,0,13,22.25969493174742,3.255222000007052,279.800934999912,10024.311524960998,34.25457553770162,0.0,13,17,22,46,53,58,78,120,210,270,280
,Aggregated,149328,0,8,13.032929480827987,1.67070500083355,282.9960019998907,10826.104909996786,498.74875739995196,0.0,8,10,12,14,21,50,61,91,160,260,280
