procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0      0 1329028 15856 1355236   0    0 23968   858 19611 109 11 19 70  0  0  0
 0  0      0 1299256 15880 1355644   0    0   300   128 8290 14220 5  6 89  0  0  0
 0  0      0 1430708 15880 1355788   0    0     0    68 11406 20253 6 9 85  0  0  0
 0  0      0 1394340 15932 1355880   0    0    24   300 12151 22947 8 9 83  0  0  0
 0  0      0 1345628 15932 1356264   0    0     0    48 15146 29515 7 9 83  0  0  0
 4  0      0 1305612 15932 1356780   0    0     0     0 19043 38957 9 12 79 0  0  0
 0  0      0 1265988 15932 1357188   0    0     0    28 18165 35653 8 12 79 0  0  0
 1  0      0 1214948 15932 1357680   0    0     0     0 21160 43315 9 13 79 0  0  0
 0  0      0 1162324 15944 1358172   0    0     0   200 24829 51204 10 15 75 0 0  0
 1  0      0 1110524 15944 1358836   0    0     0     0 24606 50811 10 16 74 0 0  0
 1  0      0 1057440 15952 1359384   0    0     0    48 26131 56417 12 18 71 0 0  0
 9  0      0 1007028 15952 1360108   0    0     0     0 27810 58995 12 18 71 0 0  0
 4  0      0 954720  15952 1360864   0    0   172    56 30411 65051 14 20 66 0 0  0
 1  0      0 903552  15952 1361640   0    0     0    28 31020 68864 14 20 66 0 0  0
 6  0      0 850696  15960 1362600   0    0     0    72 32531 70618 13 20 66 0 0  0
 4  0      0 793740  15960 1363360   0    0     0     0 34577 76228 15 23 62 0 0  0
 1  0      0 739832  15968 1364456   0    0    80   100 35889 78854 16 24 60 0 0  0
11  0      0 684928  15968 1365420   0    0     0  7460 35025 77152 16 23 61 0 0  0
 0  0      0 632024  15968 1366580   0    0     0    40 36657 79363 18 27 54 0 0  0
 5  0      0 578424  15968 1367660   0    0     0     0 36959 83271 18 30 52 0 0  0
 6  0      0 525972  15976 1368768   0    0     0    92 37253 81897 17 25 58 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0      0 472868  15976 1369828   0    0     0     0 36780 79541 17 28 55 0 0  0
 8  0      0 416676  15976 1371072   0    0     0    60 41111 91588 21 30 49 0 0  0
 5  0      0 356120  15976 1372232   0    0     0    24 40707 93308 20 29 50 0 0  0
 0  0      0 296616  15976 1373752   0    0     0    48 40089 94164 20 32 48 0 0  0
 9  0      0 238920  15984 1374996   0    0     0    32 39739 92147 19 31 50 0 0  0
 5  0      0 176648  15992 1376404   0    0     0    52 40225 90719 20 34 47 0 0  0
 6  0      0 115956  15992 1378044   0    0     0     0 41598 97451 23 36 42 0 0  0
 4  0      0 123448  14240 1319840   0    0    16    40 40629 93295 23 33 44 0 0  0
15  0      0 122356  12240 1271328   0    0     4  4096 43906 101684 24 38 38 0 0 0
 2  0      0 115708  10064 1221732   0    0  3040  4164 44335 100353 25 37 38 0 0 0
14  0      0 123516   9756 1215612   0    0  6028  4184 46012 104652 21 35 44 0 0 0
 2  0      0 111312   9792 1225728   0    0  8804    92 47787 108509 22 33 46 0 0 0
 4  0      0 116608   9612 1219952   0    0  1288    44 46934 106016 22 32 46 0 0 0
16  0      0 110964   9612 1224568   0    0  3496    48 44318 99773 21 33 46 0 0  0
 3  0      0 118260   9176 1218828   0    0  4392    24 43342 96498 25 37 38 0 0  0
 9  0      0 114508   9176 1221108   0    0  1128  7440 48731 112022 24 37 39 0 0 0
13  0      0 121820   9016 1215552   0    0   740     0 48874 108314 20 33 47 0 0 0
11  0      0 115448   9024 1219308   0    0  2424    76 49844 113225 18 32 50 0 0 0
 7  0      0 112232   9024 1220860   0    0   360     0 50565 113159 21 33 46 0 0 0
 5  0      0 125316   8016 1210984   0    0  1840    48 50567 113719 23 34 43 0 0 0
 4  0      0 120492   8016 1212436   0    0   372     0 45399 103976 21 33 46 0 0 0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
12  0      0 114024   8016 1218996   0    0  5196    60 48970 112825 19 33 46 1 0 0
 7  0      0 123652   7348 1213972   0    0   224     0 49448 115602 19 32 49 0 0 0
 0  0      0 118716   7348 1215944   0    0   844    48 48465 109997 18 31 51 0 0 0
 4  0      0 115504   7360 1217552   0    0   700    60 49473 112886 19 30 51 0 0 0
10  0      0 118304   7220 1213404   0    0  2240    96 50289 111498 20 34 46 0 0 0
 8  0      0 120552   6764 1212124   0    0  4712     0 49241 111902 18 31 51 0 0 0
 2  0      0 114396   6788 1215740   0    0  2396    20 49681 114599 19 31 50 0 0 0
12  0      0 113148   6788 1217232   0    0   252    20 50250 114040 18 31 51 0 0 0
 3  0      0 119788   6628 1211684   0    0    44     4 50165 113856 21 35 44 0 0 0
12  0      0 115376   6636 1213228   0    0   416    52 46880 106149 21 32 48 0 0 0
 9  1      0 128116   6372 1204228   0    0  2304    56 46758 104781 20 31 49 0 0 0
 6  0      0 123108   6376 1206408   0    0  1020 19624 49990 114176 21 35 44 1 0 0
 8  0      0 115540   6376 1211060   0    0  3276    24 48102 109200 21 34 45 0 0 0
10  0      0 125440   6212 1202340   0    0  4648   168 45243 102608 20 34 45 1 0 0
14  0      0 115124   6212 1208412   0    0  4944     0 47306 108118 22 36 42 0 0 0
 0  0      0 115308   6204 1209696   0    0  1888   104 49096 111949 21 34 45 0 0 0
 9  0      0 127684   5668 1192856   0    0   476  5836 46140 101704 25 36 39 0 0 0
 9  0      0 124724   5672 1194068   0    0   104    24 49059 109555 22 34 44 0 0 0
 3  0      0 121724   5672 1195876   0    0   144     0 48510 109259 20 32 48 0 0 0
 7  0      0 115240   5680 1201576   0    0  4440   116 48413 107373 23 36 41 0 0 0
 5  0      0 117456   5612 1202920   0    0  3112    56 45614 105174 19 30 51 0 0 0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0      0 115044   5656 1201236   0    0  6228    24 49811 114886 19 33 47 1 0 0
 8  0      0 110736   5660 1203116   0    0   768    28 49082 111992 23 36 41 0 0 0
11  0      0 127328   5216 1187336   0    0   664    48 47290 107679 21 33 46 0 0 0
 1  0      0 122676   5216 1188992   0    0   412     0 49876 111967 18 30 52 0 0 0
 9  0      0 118936   5224 1191168   0    0   976    68 46401 106201 17 31 52 0 0 0
12  0      0 112480   5224 1192780   0    0   560    16 48944 110111 23 32 45 0 0 0
 9  0      0 123604   5004 1186448   0    0   756    24 46335 105292 21 34 45 0 0 0
 9  0      0 118912   5008 1188468   0    0  1004     0 50579 113204 20 35 45 0 0 0
 3  0      0 114700   5008 1190012   0    0   244    28 46256 106717 22 36 42 0 0 0
 4  0      0 111008   5016 1191432   0    0   332    56 48785 110738 20 31 49 0 0 0
 6  0      0 113888   4924 1188500   0    0  2548 16944 47072 106333 23 34 43 1 0 0
 4  0      0 117308   4740 1184252   0    0  3772    96 49880 111636 20 31 50 0 0 0
 0  0      0 111860   4740 1188400   0    0  2928    52 49814 113958 19 33 48 0 0 0
19  0      0 117792   4496 1181772   0    0  1364    68 47143 109889 25 35 40 0 0 0
 3  0      0 113428   4500 1185784   0    0  2100    24 48427 107003 20 33 47 0 0 0
12  0      0 124940   4232 1171560   0    0  6368    16 48236 116144 22 36 42 0 0 0
 0  0      0 120668   4248 1174392   0    0  1488    64 48437 110874 19 32 49 0 0 0
 5  0      0 117436   4248 1175656   0    0   324     0 49374 111911 16 28 55 0 0 0
 4  0      0 122880   4160 1169188   0    0  1204    24 52256 118684 21 38 42 0 0 0
