procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 1295920  7116 1305472   0    0 23569   864 20180 113 12 19 69  0  0  0
 0  0      0 1253308  7132 1306084   0    0   436   148 9080 16503 11 14 75 0  0  0
 0  0      0 1206896  7132 1306632   0    0   480   676 9731 18278 12 16 72 0  0  0
 3  0      0 1170884  7140 1308412   0    0  1336   120 11824 22725 17 22 62 0 0  0
 9  0      0 1117260  7168 1309020   0    0   320    56 17006 33188 21 29 50 0 0  0
 0  0      0 1068368  7176 1311352   0    0  1584    72 18049 35910 22 32 46 0 0  0
 8  0      0 1024056  7176 1312556   0    0   692    24 17138 34860 20 31 49 0 0  0
 8  0      0 973148   7176 1313316   0    0   292     0 20234 39713 23 34 43 0 0  0
 2  0      0 926392   7176 1314280   0    0   284    24 19318 38844 24 38 38 0 0  0
10  0      0 873092   7176 1314988   0    0     4     0 22478 47254 26 40 34 0 0  0
 7  0      0 816924   7184 1315796   0    0    52    72 21671 45424 26 39 35 0 0  0
16  0      0 763752   7192 1316780   0    0   308     0 23960 52040 24 37 39 0 0  0
 2  0      0 705852   7200 1317836   0    0   384    52 21954 46104 27 42 31 0 0  0
10  0      0 656448   7200 1319240   0    0   324  4076 25533 53787 27 41 32 0 0  0
 8  0      0 633052   7200 1320556   0    0   388    64 26611 54706 31 43 26 0 0  0
10  0      0 614596   7200 1322276   0    0   580     0 28069 59566 29 44 27 0 0  0
11  0      0 565656   7216 1323512   0    0    36   188 26062 55853 30 46 24 0 0  0
10  0      0 510060   7216 1324932   0    0   472     0 27947 59433 29 43 28 0 0  0
 1  0      0 451360   7236 1326620   0    0   404    24 28276 63295 27 43 30 0 0  0
 4  0      0 394152   7240 1327940   0    0     4     0 28224 62307 29 45 26 0 0  0
14  0      0 333812   7240 1329064   0    0    24    44 24716 51063 31 48 21 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
10  0      0 279256   7248 1330940   0    0   572    24 25794 57965 34 45 21 0 0  0
 9  0      0 221748   7248 1332496   0    0    24    24 27556 63026 35 50 16 0 0  0
15  0      0 160812   7256 1334900   0    0     0    48 28558 63895 34 49 17 0 0  0
18  0      0 123364   7252 1314796   0    0   444    84 25940 57419 34 48 18 0 0  0
10  0      0 123912   7080 1256280   0    0  1484  8220 28234 61159 36 48 17 0 0  0
13  0      0 126440   6656 1190216   0    0  2532  3628 22838 51537 32 46 21 0 0  0
10  0      0 124320   3676 1128264   0    0 19444  1572 25762 57632 34 54 11 0 0  0
15  0      0 124116   2528 1066560   0    0 108780 1492 24480 43417 31 60 9 0  0  0
26  0      0  95328   2340 1059676   0    0 232664  912 23110 33889 18 68 13 1 0  0
42  4      0  86888   2256 1039800   0    0 438096    0 19471 14777 4 96 0  0  0  0
50  2      0  86692   2256 1039652   0    0 568268    0 21555 12726 1 99 0  0  0  0
62  1      0  87420   2276 1039528   0    0 597812    0 21232 12298 1 99 0  0  0  0
62  1      0  87216   2256 1037772   0    0 653676   72 23496 14312 1 99 0  0  0  0
61  3      0  87164   2252 1039284   0    0 687216    0 23681 13240 1 99 0  0  0  0
64  0      0  86632   2252 1040572   0    0 652808    0 22511 14852 1 99 0  0  0  0
67  2      0  87252   2360 1040216   0    0 651080    0 22459 14353 1 99 0  0  0  0
72  2      0  86868   2260 1038972   0    0 564708    4 21065 15777 1 99 0  0  0  0
67  1      0  88068   2280 1036892   0    0 587984    0 21630 13500 2 98 0  0  0  0
63  3      0  87336   2244 1036652   0    0 608828    0 22832 14533 1 98 0  0  0  0
62  0      0  86692   2268 1036584   0    0 608156    0 22803 14445 1 99 0  0  0  0
64  2      0  86856   2264 1037736   0    0 606828    4 22312 15177 1 99 0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
66  2      0  87656   2324 1038156   0    0 534004   16 20588 15260 1 99 0  0  0  0
72  1      0  87940   2340 1037620   0    0 591776    0 21692 13675 1 99 0  1  0  0
68  4      0  87216   2320 1036720   0    0 512936    0 20866 18564 1 98 0  1  0  0
68  0      0  87164   2320 1037232   0    0 585552    0 21955 13484 1 99 0  1  0  0
63  5      0  86972   2276 1037496   0    0 635180    4 23956 15534 1 98 0  0  0  0
66 10      0  86888   2280 1037892   0    0 479548    0 21039 20912 1 99 0  0  0  0
