procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 1344228 13048 1483644   0    0 25779   862 18237  99 11 18 71  0  0  0
 1  0      0 1324436 13064 1483736   0    0     0   116 7189 12419 4  5 91  0  0  0
 0  0      0 1295600 13080 1483828   0    0     0    88 8138 14885 4  5 91  0  0  0
 0  0      0 1271548 13080 1483944   0    0     0    32 9714 17628 5  7 88  0  0  0
 5  0      0 1244988 13080 1484088   0    0     0     0 11760 21880 5 6 88  0  0  0
 0  0      0 1216608 13080 1484316   0    0     0    28 13725 25749 6 8 86  0  0  0
 0  0      0 1193364 13080 1484804   0    0     0     0 12175 23460 6 7 87  0  0  0
 0  0      0 1163780 13088 1485148   0    0     0    80 16406 32170 7 9 84  0  0  0
 0  0      0 1135756 13088 1485524   0    0     0  1520 19295 38738 8 13 79 0  0  0
 0  0      0 1120504 13096 1485980   0    0     0   116 19802 40611 8 11 81 0  0  0
 0  0      0 1106316 13096 1486396   0    0     0     0 21538 44692 9 13 79 0  0  0
 0  0      0 1093404 13096 1486848   0    0     0    64 21117 43030 9 13 78 0  0  0
 3  0      0 1070424 13096 1487296   0    0     0     0 22926 48171 12 16 72 0 0  0
 0  0      0 1038080 13096 1487784   0    0     0    24 22841 47775 9 14 77 0  0  0
 7  0      0 1007376 13104 1488260   0    0     0    32 24727 52306 9 14 77 0  0  0
 1  0      0 973308  13112 1488816   0    0     0    56 25970 53848 10 15 74 0 0  0
 4  0      0 941988  13112 1489388   0    0     0     8 27206 58627 10 16 74 0 0  0
13  0      0 910820  13120 1489972   0    0     0   100 27113 58946 11 17 72 0 0  0
 3  0      0 878832  13120 1490572   0    0     0     0 27143 59273 13 16 71 0 0  0
 0  0      0 847880  13120 1491292   0    0     0    52 29031 62510 11 17 72 0 0  0
 7  0      0 812140  13120 1491996   0    0     0     0 31960 69213 13 19 68 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 777376  13128 1492840   0    0     0    80 32699 70957 13 20 66 0 0  0
 7  0      0 739912  13128 1493644   0    0     0    28 33076 70917 13 19 68 0 0  0
 3  0      0 699188  13128 1494404   0    0     0  6824 33859 72937 14 22 64 0 0  0
 0  0      0 660032  13128 1495280   0    0     0     0 32083 70279 15 21 64 0 0  0
 0  0      0 627876  13128 1496140   0    0     0    24 32825 73096 13 22 65 0 0  0
 7  0      0 590904  13136 1497064   0    0     0    68 35838 78544 15 22 63 0 0  0
 2  0      0 556560  13144 1497936   0    0     0    64 37040 80466 16 23 61 0 0  0
 1  0      0 516904  13144 1498904   0    0     0     0 36833 81954 16 25 59 0 0  0
 5  0      0 568288  13144 1400936   0    0     0    52 35035 77791 16 24 60 0 0  0
 6  0      0 541212  13144 1402176   0    0     0     0 40226 86677 15 24 60 0 0  0
 0  0      0 528740  13156 1402800   0    0     0   128 37753 83123 18 25 57 0 0  0
 0  0      0 525772  13164 1403780   0    0     0    88 39966 89095 17 24 59 0 0  0
 0  0      0 521740  13164 1404524   0    0     0    24 40167 89920 16 24 60 0 0  0
 5  0      0 519260  13164 1405536   0    0     0     0 40927 90311 15 25 60 0 0  0
12  0      0 515508  13164 1406332   0    0     0    24 40053 86489 16 24 60 0 0  0
 3  0      0 513764  13164 1407120   0    0     0     0 39556 86959 15 22 63 0 0  0
 7  0      0 511524  13172 1407884   0    0     0    68 39842 89941 14 23 63 0 0  0
 7  0      0 510012  13172 1408744   0    0     0     0 38542 85549 15 24 61 0 0  0
 6  0      0 508752  13180 1409640   0    0     0    48 39214 87096 16 24 60 0 0  0
 8  0      0 507772  13180 1410376   0    0     0    24 38843 86543 16 28 56 0 0  0
 8  0      0 506036  13180 1411072   0    0     0    32 39544 85209 15 23 62 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0      0 503292  13180 1411888   0    0     0    52 39785 88162 15 24 60 0 0  0
 7  0      0 499540  13188 1412728   0    0     0    48 40009 88517 15 25 60 0 0  0
