procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 1408040 22508 1294180   0    0    14   952 16479  92 11 16 72  0  0  0
 0  0      0 1367076 22532 1295096   0    0   828   116 8588 16258 6  7 87  0  0  0
 2  0      0 1321400 22532 1295368   0    0     0    28 9590 18299 6  7 88  0  0  0
 0  0      0 1275736 22532 1295708   0    0    12    52 11767 23661 6 8 85  0  0  0
 0  0      0 1226316 22548 1296184   0    0   168   152 16119 31163 8 10 82 0  0  0
 0  0      0 1181728 22548 1296728   0    0     0     0 17914 36025 8 13 79 0  0  0
 3  0      0 1136872 22548 1297344   0    0   192    28 18829 38822 9 12 79 0  0  0
 5  0      0 1090288 22548 1298032   0    0   184  1796 20302 41051 9 13 78 0  0  0
 1  0      0 1041408 22548 1298668   0    0    24    24 23258 49814 9 15 75 0  0  0
 1  0      0 990348  22556 1299276   0    0    36    84 23563 48851 11 14 75 0 0  0
 1  0      0 945768  22564 1299912   0    0    16    60 26445 55283 11 15 73 0 0  0
 0  0      0 898844  22564 1300472   0    0     0     0 25155 53824 13 18 70 0 0  0
 1  0      0 856460  22564 1301224   0    0     0    24 27639 58553 11 16 73 0 0  0
 0  0      0 810956  22564 1302028   0    0   112     0 30936 66598 11 19 70 0 0  0
 0  0      0 762048  22564 1302972   0    0     0    84 31225 69525 13 19 68 0 0  0
 8  0      0 712636  22572 1303796   0    0    76    24 33441 71462 12 20 67 0 0  0
 9  0      0 665144  22580 1304560   0    0     0    80 34495 76471 12 20 67 0 0  0
 3  0      0 615936  22580 1305724   0    0    16    24 34917 79334 14 21 65 0 0  0
15  0      0 569976  22588 1306580   0    0    32    52 37640 81748 16 27 56 0 0  0
 4  0      0 539304  22588 1307644   0    0     0    16 34933 75361 17 27 57 0 0  0
 6  0      0 494664  22588 1308452   0    0     0    28 37297 83176 18 27 55 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 444780  22588 1309740   0    0    60     0 37993 83544 19 30 52 0 0  0
 1  0      0 394992  22588 1310548   0    0     0    24 37534 81705 17 29 54 0 0  0
11  0      0 343216  22596 1312108   0    0     0  9988 40043 89727 22 31 47 0 0  0
 9  0      0 290264  22604 1313216   0    0     0   104 41990 93819 20 34 46 0 0  0
 8  0      0 239572  22604 1314592   0    0     0     0 40506 90333 20 31 50 0 0  0
 7  0      0 188384  22604 1315920   0    0     0    28 42005 93607 22 35 43 0 0  0
 7  0      0 129060  22604 1317360   0    0     0    24 43077 98216 25 38 38 0 0  0
 6  0      0 132548  18888 1280244   0    0    64   128 40860 91361 21 35 45 0 0  0
 0  0      0 124696  14816 1235680   0    0     4  6768 41303 93419 24 38 38 0 0  0
 9  0      0 114532  10272 1200072   0    0  2904    24 45806 101621 24 37 39 0 0 0
 5  0      0 109812  10284 1203856   0    0  2792   180 45875 102279 24 38 38 0 0 0
 8  0      0 107852  10284 1205504   0    0   344    24 46559 104844 23 34 43 0 0 0
