procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 1533808 10836 1407440   0    0 26791   874 17738  96 11 18 71  0  0  0
 1  0      0 1537140 10836 1407512   0    0     0    16 6200 10138 3  4 93  0  0  0
 0  0      0 1531696 10860 1407524   0    0    56   148 8590 15170 5  5 90  0  0  0
 0  0      0 1519380 10860 1407716   0    0     0     0 8066 14516 3  4 92  0  0  0
 3  0      0 1505132 10860 1407760   0    0     0    24 8837 16148 4  4 92  0  0  0
 1  0      0 1490124 10860 1407964   0    0     0     0 9565 16892 4  6 90  0  0  0
 0  0      0 1472876 10860 1407980   0    0     0    60 15359 29455 6 8 86  0  0  0
 1  0      0 1447040 10876 1408492   0    0     0    76 13853 25881 6 8 86  0  0  0
 0  0      0 1422976 10876 1408548   0    0     0  1224 15769 30216 6 8 86  0  0  0
 2  0      0 1397412 10876 1408996   0    0     0    24 15780 30981 6 9 86  0  0  0
 8  0      0 1372328 10876 1409144   0    0     0    24 17053 33773 6 9 84  0  0  0
 1  0      0 1345508 10876 1409568   0    0     0    16 21374 44316 7 13 80 0  0  0
 5  0      0 1319436 10884 1409964   0    0     0   100 18358 36973 7 10 83 0  0  0
 2  0      0 1292148 10884 1410404   0    0     0     0 19273 38456 7 11 82 0  0  0
12  0      0 1268348 10892 1410824   0    0     0    48 21168 42844 8 11 81 0  0  0
 8  0      0 1241236 10892 1410964   0    0    80     0 22076 44244 8 13 79 0  0  0
 0  0      0 1213984 10928 1411620   0    0     0   328 23631 48551 9 14 77 0  0  0
 0  0      0 1187452 10940 1412012   0    0     0   200 26809 55517 11 16 73 0 0  0
 0  0      0 1159684 10948 1412336   0    0     0    84 25118 52492 8 13 78 0  0  0
 0  0      0 1127612 10948 1413124   0    0   128    24 25507 52684 9 16 75 0  0  0
 0  0      0 1102536 10948 1413536   0    0     0    28 23525 49067 9 13 79 0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 1072324 10948 1414064   0    0     0    16 24919 53072 9 16 74 0  0  0
 5  0      0 1048960 10948 1414592   0    0     0    24 28406 60065 12 17 71 0 0  0
 6  0      0 1021344 10956 1414996   0    0     0    20 28698 60151 11 16 73 0 0  0
 8  0      0 994100  10956 1415656   0    0     0    24 27085 56845 9 16 75 0  0  0
 0  0      0 966452  10956 1416168   0    0     0     0 31222 65870 11 18 71 0 0  0
 7  0      0 935524  10964 1416724   0    0     0    80 30745 65272 12 19 69 0 0  0
 1  0      0 907164  10964 1417520   0    0     0     0 33088 71150 14 22 64 0 0  0
 2  0      0 876504  10964 1418388   0    0     0    52 31766 69567 14 19 68 0 0  0
 1  0      0 847340  10964 1419160   0    0     0    24 34890 75064 12 20 68 0 0  0
