procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1311976  5768 1302236   0    0   666   955 17592  99 12 17 71  0  0  0
 0  0      0 1273332  5912 1303124   0    0   776    56 9397 16422 5  8 87  0  0  0
 2  0      0 1342660  5920 1304724   0    0  1172    64 11326 21697 7 8 84  1  0  0
 0  0      0 1366684  5928 1305856   0    0   796   720 12725 24189 7 8 85  0  0  0
 0  0      0 1332920  6116 1306928   0    0   808   128 15944 32385 7 10 82 1  0  0
 5  0      0 1280600  6132 1307396   0    0    88    44 18606 36782 9 14 78 0  0  0
 1  0      0 1241832  6200 1307992   0    0   112   208 21822 43983 11 14 75 0 0  0
 0  0      0 1179976  6200 1309044   0    0   464    28 22545 45894 11 14 75 0 0  0
 0  0      0 1121240  6200 1310184   0    0   256     0 24003 49376 12 16 72 0 0  0
 0  0      0 1060896  6200 1310800   0    0   128    56 27435 55951 13 20 67 0 0  0
 1  0      0 999160   6204 1311664   0    0     4    32 26615 57151 11 16 73 0 0  0
 1  0      0 940600   6316 1312456   0    0   256    52 31420 66965 15 20 64 0 0  0
 0  0      0 879880   6316 1313328   0    0    44     0 31017 67529 14 19 67 0 0  0
 6  0      0 817688   6316 1315488   0    0  1248    24 31858 68152 14 22 63 0 0  0
 0  0      0 756388   6316 1316564   0    0   148     0 32591 70432 16 22 62 0 0  0
 0  0      0 694708   6316 1317692   0    0   524    44 34355 74844 18 26 56 0 0  0
 5  0      0 625760   6324 1319068   0    0   208    48 35863 77320 18 28 54 0 0  0
 3  0      0 562012   6332 1320180   0    0   192    80 35157 76640 17 27 55 0 0  0
 3  0      0 499348   6332 1322660   0    0  1000     0 38394 85269 19 27 54 0 0  0
 7  0      0 436580   6340 1324344   0    0   596    80 38798 86543 19 33 48 0 0  0
 6  0      0 373308   6344 1326740   0    0  1360    32 37498 81370 19 31 51 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
13  0      0 311124   6344 1328708   0    0   252    24 38092 87554 21 33 46 0 0  0
 0  0      0 246368   6344 1330124   0    0   180     0 37888 83588 23 34 43 0 0  0
 0  0      0 182120   6344 1331500   0    0     0    24 40182 90096 24 35 41 0 0  0
 0  0      0 115948   6352 1332936   0    0     0    24 38234 87450 23 34 43 0 0  0
10  0      0 121632   6152 1266920   0    0   580 12460 39253 87041 24 36 40 0 0  0
 6  0      0 127144   5332 1192860   0    0 21472  3712 40286 90527 26 40 34 0 0  0
 2  0      0 123080   3080 1128880   0    0 22772  1484 44509 98125 25 42 32 0 0  0
22  2      0 105100   2344 1081436   0    0 210588 2188 41257 80850 24 51 22 2 0  0
38  1      0  93832   2336 1028396   0    0 663716  460 31323 37153 15 71 13 1 0  0
35  2      0  85576   2388 1034180   0    0 1201732   0 35246 24671 3 96 0  1  0  0
40  3      0  92516   2388 1026484   0    0 1307444   0 36499 24054 2 97 0  1  0  0
52  3      0  89388   2308 1030976   0    0 1347912  48 33600 24226 1 96 1  1  0  0
47  1      0  86780   2336 1032708   0    0 1366956   4 37459 26499 2 96 0  2  0  0
58  2      0  89372   2336 1030216   0    0 1397780   0 37341 25080 1 99 0  1  0  0
63  0      0  89512   2292 1030208   0    0 1267520   0 36430 23436 3 95 0  2  0  0
49  3      0  88248   2284 1032520   0    0 1334400   4 34886 23740 1 97 0  1  0  0
58  4      0  88872   2276 1030224   0    0 1355888   0 36715 25999 2 95 0  3  0  0
52 17      0  96216   2332 1023704   0    0 1336624  16 35736 25938 1 96 0  2  0  0
67  3      0  89076   2336 1031684   0    0 1315224   0 33530 23653 1 98 0  1  0  0
63  2      0  88960   2336 1031852   0    0 1196576   0 34647 26353 2 98 0  1  0  0
60  9      0  90260   2336 1030196   0    0 1370636   0 35524 24763 1 98 0  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
75  5      0  95628   2324 1021548   0    0 1350460   0 34287 24900 1 96 0  3  0  0
66  6      0  88372   2292 1031888   0    0 1376872   8 36267 24287 1 98 0  1  0  0
65  2      0  90248   2340 1030208   0    0 1300824   8 37207 25076 2 98 0  1  0  0
68  0      0  91976   2324 1026500   0    0 1294432   4 35639 26115 1 98 0  1  0  0
68  4      0  88756   2320 1028496   0    0 1325644   4 36722 24474 1 98 0  1  0  0
66  9      0  89008   2336 1028688   0    0 1322684   0 35792 24916 1 98 0  0  0  0
72  7      0  86824   2332 1031488   0    0 1364956  32 38743 25064 2 98 0  1  0  0
73  1      0  87588   2348 1031588   0    0 1427008   4 38478 24848 1 98 0  0  0  0
60  3      0  88600   2284 1030244   0    0 1295120   0 34583 22775 1 98 0  1  0  0
56  9      0  87600   2324 1032456   0    0 1343636   0 38164 24231 2 98 0  1  0  0
72  4      0  87852   2376 1031976   0    0 1335392   0 38838 23865 2 98 0  0  0  0
68  8      0  92496   2348 1027376   0    0 1305968  52 37527 26121 1 98 0  1  0  0
70  5      0  87328   2352 1031172   0    0 1260800   0 34961 24189 1 98 0  0  0  0
76  2      0  89412   2292 1029480   0    0 1225472   0 31883 22547 1 99 0  0  0  0
70  6      0  88296   2316 1031556   0    0 928504    0 28211 18237 1 99 0  0  0  0
74  4      0  92192   2364 1026256   0    0 1258912   0 34958 27017 1 98 0  1  0  0
70  3      0  88084   2340 1031476   0    0 1357252   4 38029 26380 1 99 0  0  0  0
61 20      0  91180   2336 1028260   0    0 1396004  48 40622 25178 1 98 0  0  0  0
71  4      0  86924   2320 1032488   0    0 1450808   0 41087 24542 1 98 0  1  0  0
71  3      0  87924   2304 1032392   0    0 1504468   0 41411 25418 1 98 0  0  0  0
76  1      0  94624   2348 1023652   0    0 1422088   0 39778 24937 1 97 0  2  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
74  5      0  89796   2356 1029996   0    0 1318344   0 36551 26014 1 99 0  0  0  0
67  9      0  87304   2340 1031180   0    0 1133580   0 32294 24605 2 98 0  0  0  0
71  5      0  88692   2340 1028328   0    0 1164168   0 32825 21525 2 97 0  1  0  0
67  6      0  87756   2348 1028220   0    0 1183656  32 34065 25851 2 98 0  1  0  0
70  4      0  92712   2348 1025144   0    0 1311124   4 38114 22660 3 96 0  2  0  0
68 12      0  87748   2352 1031432   0    0 1396984   0 35264 24150 1 99 0  0  0  0
66 12      0  89188   2344 1029112   0    0 1237352   0 31112 21979 1 98 0  1  0  0
83  2      0  89712   2352 1026516   0    0 1344684   0 33588 23415 2 98 0  0  0  0
85  5      0  87868   2640 1030100   0    0 1391064   0 37417 26181 2 98 0  1  0  0
77  7      0  89356   2344 1028484   0    0 1321368  24 37509 24321 1 98 0  1  0  0
68  8      0  87760   2324 1031724   0    0 1311968   4 37510 25803 1 98 0  1  0  0
78 11      0  96484   2344 1021580   0    0 1295932   0 37311 23490 2 98 0  1  0  0
76  4      0  88760   2280 1029376   0    0 1333716   0 35609 23198 1 98 0  1  0  0
78 10      0  96060   2252 1022036   0    0 1344388   0 34737 23530 1 99 0  0  0  0
85  1      0  87116   2304 1030504   0    0 594700    0 18342 13372 2 97 0  2  0  0
74 12      0  87832   2288 1029752   0    0 1302124  24 36167 23414 1 99 0  0  0  0
83  5      0  88512   2308 1029440   0    0 1501236   0 41487 24308 1 99 0  0  0  0
83  2      0  93660   2316 1023712   0    0 1518772   0 42008 25604 1 99 0  0  0  0
81  2      0  89252   2248 1028244   0    0 1526868   0 42452 24846 1 99 0  0  0  0
81  3      0  88760   2464 1028476   0    0 1483216   4 42199 24528 1 99 0  0  0  0
83  2      0  89776   2312 1027652   0    0 1438876   0 40476 26704 1 99 0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
76 10      0  88600   2284 1030324   0    0 1466936   0 40235 26367 1 99 0  0  0  0
73  7      0  88184   2296 1027208   0    0 1326552   4 38045 24380 1 99 0  0  0  0
80  6      0  88136   2340 1027288   0    0 1112376   0 33278 20072 1 99 0  0  0  0
86  4      0  88720   2240 1027256   0    0 1131112   0 31012 21259 2 98 0  0  0  0
78  2      0  87744   2328 1030320   0    0 1206892  48 34234 21594 1 99 0  0  0  0
79  1      0  89868   2292 1027044   0    0 1346276   4 38591 25758 1 98 0  1  0  0
70 14      0  87632   2284 1029260   0    0 1368160   0 38039 26044 1 99 0  0  0  0
83  6      0  87704   2288 1029752   0    0 1120280   0 32120 20335 1 99 0  0  0  0
83  1      0  92080   2280 1025520   0    0 1231572   0 35049 23636 1 99 0  0  0  0
86  1      0  89056   2272 1028032   0    0 1305788   8 35523 25723 2 98 0  0  0  0
72 13      0  90208   2236 1027616   0    0 1276608  32 35503 22072 2 98 0  0  0  0
83  5      0  93824   2348 1023512   0    0 1262416   0 35665 23162 1 99 0  1  0  0
87  3      0  89824   2344 1027768   0    0 1086728   0 29636 19309 2 98 0  0  0  0
90  1      0  90436   2304 1027208   0    0 1298380   0 37466 23476 2 98 0  0  0  0
75 11      0  89368   2344 1028096   0    0 1316012   0 35667 23821 1 98 0  1  0  0
81  6      0  89152   2348 1028840   0    0 1236564   4 34639 23027 1 99 0  0  0  0
80 12      0  89768   2316 1027600   0    0 1264032   0 32995 22122 1 99 0  0  0  0
77 10      0  89428   2352 1028264   0    0 1178612   0 34895 21037 1 99 0  0  0  0
76  3      0  87240   2348 1030264   0    0 1047008   0 31358 20317 1 94 0  5  0  0
73  6      0  88076   2300 1031556   0    0 931420    0 31828 19359 4 96 0  0  0  0
82  1      0  87632   2332 1030744   0    0 997592   16 35141 20826 1 99 0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
73  9      0  87564   2284 1027316   0    0 966908    0 34843 19658 2 98 0  0  0  0
68 13      0  87952   2292 1027892   0    0 979660    4 34732 18623 3 97 0  0  0  0
84  5      0  87684   2276 1029076   0    0 1003004   0 35901 20276 2 98 0  0  0  0
77  6      0  88280   2284 1029408   0    0 1026680   0 35332 19926 1 99 0  0  0  0
76  7      0  88112   2276 1028308   0    0 1040612   0 36453 21204 1 99 0  0  0  0
84  1      0  87112   2264 1029612   0    0 1027196   0 34769 20386 1 99 0  0  0  0
81  4      0  87196   2244 1029484   0    0 1046944   0 36036 19673 1 99 0  0  0  0
83  1      0  87588   2244 1030852   0    0 898952   40 31477 17854 1 99 0  0  0  0
77  3      0  86948   2244 1030644   0    0 886460    4 30797 19139 1 99 0  0  0  0
80  2      0  87116   2240 1029748   0    0 945292    4 32845 18169 1 99 0  0  0  0
78  9      0  87584   2236 1028904   0    0 1001012   0 35908 21149 1 99 0  0  0  0
85  2      0  87272   2280 1030428   0    0 969388    0 34019 18852 1 99 0  0  0  0
82  2      0  88580   2340 1027248   0    0 928624    8 32531 19596 2 98 0  0  0  0
85  1      0  87540   2340 1030728   0    0 1011712  24 35984 19301 1 99 0  0  0  0
87  1      0  87960   2296 1029660   0    0 959556    0 32885 18195 1 99 0  0  0  0
87  1      0  86920   2296 1029696   0    0 1008084   0 34422 18657 1 99 0  0  0  0
78  9      0  87796   2360 1029696   0    0 997464    0 34826 20255 3 97 0  0  0  0
77  8      0  87976   2360 1030712   0    0 970264    0 33899 18791 1 99 0  0  0  0
74  9      0  88492   2292 1029776   0    0 876532    0 32879 18296 1 99 0  0  0  0
83  4      0  87832   2308 1028772   0    0 1011252   0 37165 19864 1 99 0  0  0  0
77  6      0  88620   2240 1026280   0    0 980452    4 35751 20949 2 98 0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
78  9      0  87164   2340 1029092   0    0 950716    0 34820 19626 1 99 0  0  0  0
84  3      0  86728   2340 1029044   0    0 954908    0 33836 18481 2 98 0  0  0  0
76 13      0  88264   2344 1029228   0    0 930072    0 32720 17730 1 99 0  0  0  0
89  0      0  87156   2352 1029508   0    0 1035492   4 36080 18560 1 99 0  0  0  0
76 12      0  87852   2332 1030020   0    0 921348    0 32039 18965 1 99 0  0  0  0
75 11      0  87716   2324 1029640   0    0 966816   40 34497 19156 1 99 0  0  0  0
86  4      0  87200   2364 1028904   0    0 999540    0 34802 19603 2 98 0  0  0  0
85  5      0  87824   2340 1028572   0    0 927576    0 33721 19789 1 99 0  0  0  0
81  6      0  88200   2364 1029304   0    0 985988    4 35384 19186 1 99 0  0  0  0
79  7      0  87492   2368 1029960   0    0 946220    0 33517 21139 1 99 0  0  0  0
82  8      0  88628   2368 1028888   0    0 941852    4 34218 19431 1 99 0  0  0  0
79  9      0  87296   2312 1029216   0    0 998968    0 34790 19933 1 99 0  0  0  0
85  3      0  87532   2324 1028220   0    0 874604    4 30720 18073 1 99 0  0  0  0
85  2      0  87976   2452 1028552   0    0 930460   32 33142 18663 1 99 0  0  0  0
76  9      0  87712   2348 1028416   0    0 906720    0 30960 19094 0 99 0  0  0  0
83  8      0  86968   2344 1029060   0    0 926468    0 33486 19855 2 98 0  0  0  0
88  3      0  87456   2280 1029672   0    0 930204    0 32951 19008 1 99 0  0  0  0
87  3      0  88364   2272 1029124   0    0 1014464   0 36054 19722 2 99 0  0  0  0
82  9      0  87128   2280 1030660   0    0 986636   40 35250 19057 1 98 0  0  0  0
87  0      0  87212   2352 1027928   0    0 951548    0 34144 18467 2 98 0  0  0  0
83  7      0  87656   2344 1028136   0    0 1023508   4 36214 19763 1 99 0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
91  1      0  87140   2324 1027544   0    0 904664  120 33326 18923 1 98 0  1  0  0
74 12      0  87652   2368 1029916   0    0 948044    0 34763 20199 1 99 0  0  0  0
93  1      0  88436   2344 1029144   0    0 999556    0 36483 19310 2 98 0  0  0  0
79 10      0  87828   2316 1028480   0    0 972632    4 35291 19281 2 98 0  0  0  0
87  4      0  88272   2364 1028764   0    0 998776    4 36202 19267 1 99 0  0  0  0
80  9      0  88484   2388 1028720   0    0 978928    4 34875 19029 1 99 0  0  0  0
89  2      0  87388   2312 1029812   0    0 464592   72 18736 11082 2 98 0  0  0  0
82  4      0  87112   2320 1030188   0    0 997312    4 34676 19990 1 99 0  0  0  0
90  0      0  88292   2288 1028236   0    0 1009344   0 36395 20233 1 99 0  0  0  0
67 13      0  86952   2348 1030360   0    0 1011268   4 35452 19959 2 98 0  0  0  0
87  3      0  88432   2416 1028140   0    0 924492    4 32173 17772 1 97 0  2  0  0
71 15      0  87516   2324 1029372   0    0 954488    0 33037 19270 2 98 0  0  0  0
74 13      0  88916   2448 1044676   0    0 918496   28 33763 21625 2 98 0  0  0  0
86  2      0  87324   2708 1044828   0    0 1063536 368 39314 23479 3 97 0  0  0  0
77  9      0  88388   2352 1045060   0    0 1022056 1052 37855 21796 3 97 0 1  0  0
82  2      0  87460   2444 1046000   0    0 1004592 144 37306 21510 2 98 0  0  0  0
89  0      0  87532   2476 1045740   0    0 899288   80 34511 21941 3 97 0  0  0  0
83  6      0  88352   2376 1035580   0    0 862652   12 33787 26221 3 97 0  0  0  0
68 16      0  86828   2312 1039928   0    0 967716  452 35043 21862 2 97 0  1  0  0
65 20      0  88028   2320 1039392   0    0 1022456   0 35773 20233 2 98 0  0  0  0
70 10      0  86676   2348 1040592   0    0 937812    8 32330 19886 3 95 0  3  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
81  1      0  87592   2712 1041656   0    0 1030036   8 36900 19357 1 98 0  0  0  0
