procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 1274316 36872 1542148   0    0    11   988 13444  72 11 15 74  0  0  0
 1  0      0 1254412 36880 1542200   0    0     0    52 5713 9871  3  4 93  0  0  0
 3  0      0 1233596 36888 1542276   0    0     0    72 7519 13521 3  4 93  0  0  0
 1  0      0 1230680 36888 1542396   0    0     0    60 10153 18872 4 5 91  0  0  0
 1  0      0 1222432 36888 1542632   0    0     0     0 11019 19154 4 5 91  0  0  0
 0  0      0 1213640 36888 1542856   0    0     0    28 11562 21663 4 5 90  0  0  0
 1  0      0 1200872 36896 1542964   0    0     0    64 11218 20805 4 6 90  0  0  0
 0  0      0 1183876 36896 1543300   0    0     0    24 13699 25751 5 6 89  0  0  0
 0  0      0 1161132 36896 1543584   0    0     0     4 14551 27946 5 8 86  0  0  0
 0  0      0 1136552 36896 1543896   0    0     0    48 16277 32422 7 10 83 0  0  0
 3  0      0 1113988 36896 1544240   0    0     0    24 18481 37736 7 10 84 0  0  0
 2  0      0 1090224 36904 1544444   0    0     0    52 17364 35438 7 9 84  0  0  0
11  0      0 1065432 36904 1544908   0    0     0    16 19731 40406 9 12 80 0  0  0
 0  0      0 1038168 36904 1545376   0    0     0    24 23036 49328 9 14 77 0  0  0
 2  0      0 1009816 36904 1545632   0    0     0     0 20981 42806 8 13 80 0  0  0
 0  0      0 983260  36904 1546188   0    0     0    28 23299 47274 8 13 78 0  0  0
 0  0      0 954176  36912 1546592   0    0     0    44 22274 45558 10 13 77 0 0  0
 0  0      0 930164  36928 1547132   0    0    96   144 23455 50101 8 14 78 0  0  0
 8  0      0 904904  36928 1547660   0    0     0    28 26144 55421 11 16 74 0 0  0
 0  0      0 878068  36936 1548220   0    0     0  4456 27148 57380 10 15 75 0 0  0
 0  0      0 854516  36936 1548676   0    0     0    24 24461 51808 10 15 75 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 827032  36936 1549216   0    0     0    24 26516 55217 10 15 75 0 0  0
 0  0      0 798852  36936 1549712   0    0     0    16 28513 59792 11 17 72 0 0  0
10  0      0 769092  36936 1550276   0    0     0    28 25780 54400 10 16 74 0 0  0
 6  0      0 740088  36944 1550852   0    0     0    72 29093 61457 10 18 72 0 0  0
 7  0      0 716132  36944 1551404   0    0     0    24 29616 63340 11 18 71 0 0  0
25  0      0 686160  36944 1552132   0    0     0     8 33617 72171 13 21 66 0 0  0
 0  0      0 656672  36952 1552868   0    0    84    96 30857 66361 13 18 69 0 0  0
 4  0      0 632260  36952 1553472   0    0     0     0 31195 67791 11 19 70 0 0  0
10  0      0 602048  36952 1554664   0    0     0   252 33392 72090 14 24 62 0 0  0
 1  0      0 580852  36952 1555232   0    0     0     4 33626 73079 12 21 67 0 0  0
 4  0      0 579116  36960 1555988   0    0     0    72 35707 78525 11 19 69 0 0  0
13  0      0 576596  36960 1556520   0    0     0    24 29912 64982 11 18 71 0 0  0
 0  0      0 575616  36960 1557124   0    0     0    48 34962 75699 12 18 70 0 0  0
 9  0      0 573880  36960 1557764   0    0     0   176 35261 75305 13 22 65 0 0  0
11  0      0 573124  36968 1558292   0    0     0    72 33369 72723 12 21 67 0 0  0
 0  0      0 572144  36968 1558864   0    0     0     8 33730 74623 11 19 70 0 0  0
 8  0      0 570380  36968 1559436   0    0     0    52 35194 75372 13 19 68 0 0  0
 2  0      0 570128  36968 1560020   0    0     0    28 34509 74304 12 20 67 0 0  0
14  0      0 564080  36968 1560584   0    0     0    48 33262 71930 14 20 66 0 0  0
 0  0      0 563856  36992 1561104   0    0     0   120 32629 69936 11 19 70 0 0  0
 0  0      0 563112  37004 1561644   0    0     0   192 33490 72132 12 17 71 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 561628  37004 1562248   0    0     0    16 35179 77412 13 19 68 0 0  0
 7  0      0 559360  37004 1562928   0    0     0    24 34674 75343 14 22 64 0 0  0
 5  0      0 559360  37004 1563516   0    0     0     0 34934 73822 14 23 63 0 0  0
 0  0      0 558352  37004 1564128   0    0     0    24 34264 74341 13 21 66 0 0  0
 2  0      0 557596  37012 1564628   0    0     0    68 31753 66875 11 20 69 0 0  0
